Population,Region,year,max5dprcp_spawn,mnprcp_rear,maxq_spawn,medq_rear,mean_swe,cdd_rear,maxDaily_spawn,maxDaily_migrate,maxWeekly_migrate,daysGT17_migrate,cddGT17_migrate
Aniak,Kuskokwim,1980,201818.43,15969.67137,186.09375,173.45312,29.1512224,1265.430406,11.42290235,15.13639486,14.23709849,0,0.364972239
Aniak,Kuskokwim,1981,175514.32,10944.37408,197.17188,80.234375,113.8582337,1339.392014,11.87091477,16.52289194,15.65443684,0,6.860260695
Aniak,Kuskokwim,1982,297488.63,16279.88039,252.15625,144.15625,160.3800241,1313.176275,12.56032015,15.2905683,14.72441812,0,8.624416112
Aniak,Kuskokwim,1983,239011.21,7881.74908,230.63281,62.296875,19.04849659,1316.326108,11.00823422,17.41707038,16.95871923,3,0.992141384
Aniak,Kuskokwim,1984,208860.18,7987.31346,108.296875,57.5625,95.170548,1310.276598,11.11105628,16.46434533,15.58550898,0,3.640151826
Aniak,Kuskokwim,1985,307925.72,11845.9702,276.71875,137.82812,111.3991971,1268.535667,11.88395621,14.46943077,13.5446134,0,8.135169781
Aniak,Kuskokwim,1986,229570.0401,11003.67493,249.375,112.890625,16.0297772,1320.515454,10.70046243,16.40236982,16.01690216,0,1.21657413
Aniak,Kuskokwim,1987,239084.8201,9505.760198,121.21094,101.84375,137.2569571,1274.799779,11.73999136,14.82926179,14.27298105,0,2.611808749
Aniak,Kuskokwim,1988,214973.8296,10880.72451,161.79688,86.34375,265.7360195,1441.554996,12.16614983,17.40122276,16.31340798,2,0.548475988
Aniak,Kuskokwim,1989,274695.59,14194.51441,247.3125,160.71875,166.6907487,1393.93131,12.16786687,15.7344198,15.23405418,0,0
Aniak,Kuskokwim,1990,258450.9201,14637.70197,247,93.65625,359.2217141,1459.823332,12.36516287,16.66458719,15.85509111,0,0
Aniak,Kuskokwim,1991,140494.03,7916.594278,202.26562,122.625,152.5733562,1363.666508,12.14488219,16.55824184,16.23890514,0,0
Aniak,Kuskokwim,1992,222856.7599,10948.37228,189.65625,69.328125,167.1626796,1442.862458,12.64848031,17.02069893,16.75245066,1,19.51317908
Aniak,Kuskokwim,1993,241829.32,11490.74934,266.17188,133.64062,130.3480811,1348.340438,11.5040987,17.97930974,17.27586589,5,2.937320778
Aniak,Kuskokwim,1994,319191.26,11127.32474,249.59375,153.21875,184.1493395,1422.113651,12.31631798,14.65392551,14.03332363,0,0
Aniak,Kuskokwim,1995,255383.0299,16288.10151,234.67188,156.64062,51.81716983,1364.507333,11.33990787,17.60628057,16.22466484,1,0.606280571
Aniak,Kuskokwim,1996,152701.04,10116.0985,169.65625,101.21875,71.17573864,1347.656107,11.66100011,18.09322247,17.95312035,20,13.03063146
Aniak,Kuskokwim,1997,221927.9808,9015.145394,264.76562,47.59375,122.352778,1417.701664,11.68044285,17.61205402,17.28548639,10,3.110827402
Aniak,Kuskokwim,1998,201148.8598,14046.00677,170,108.4375,87.26866525,1292.663332,11.94170253,15.49695696,15.27517128,0,2.728237281
Aniak,Kuskokwim,1999,280093.49,13225.62908,177.5,93.21875,60.48366119,1352.22583,11.93318986,15.95659498,15.61858254,0,0
Aniak,Kuskokwim,2000,190673.83,12540.14235,132.63281,92.90625,95.52575474,1316.117324,11.75475619,18.28079845,17.69181391,16,8.585753709
Aniak,Kuskokwim,2001,450854.4993,19485.05709,175.10156,113.265625,201.5096446,1431.437438,12.38461965,14.50215329,13.5936426,0,0
