Year,Escapement MF,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Total Recruits,Yield,Recruits/ Spawner
1981,3688,0,7,"1,232","1,968","2,370",599,0,"6,176","2,488",1.7
1982,1395,0,30,489,"1,306","2,554",228,0,"4,609","3,214",3.3
1983,6027,0,15,495,"1,209","2,136",264,9,"4,128","-1,899",0.7
1984,3260,0,16,681,"1,615","2,386",271,0,"4,969","1,709",1.5
1985,2831,0,0,242,899,971,109,0,"2,221",-610,0.8
1986,2080,0,14,"1,846",984,"1,712",207,0,"4,762","2,682",2.3
1987,2272,0,26,578,"1,231","1,561",604,0,"4,000","1,728",1.8
1988,2712,0,0,628,964,"2,614",49,1,"4,256","1,544",1.6
1989,1915,0,41,949,"1,781","3,846",201,0,"6,817","4,902",3.6
1990,3636,0,17,427,"1,080","1,722",10,0,"3,256",-380,0.9
1991,1952,0,65,"1,643","1,100","1,167",275,0,"4,250","2,298",2.2
1992,1905,0,0,781,358,"2,034",93,0,"3,267","1,362",1.7
1993,2349,0,30,"2,114","4,044","2,743",65,0,"8,997","6,648",3.8
1994,3856,0,24,786,606,"1,048",234,0,"2,698","-1,158",0.7
1995,4836,0,142,"1,156","3,073","4,568",145,0,"9,084","4,248",1.9
1996,2931,0,23,813,"1,278","1,526",138,0,"3,778",847,1.3
1997,2937,0,28,351,"1,021","1,129",42,0,"2,571",-366,0.9
1998,4584,0,51,"1,309","1,272","1,024",9,0,"3,666",-918,0.8
1999,3221,0,7,526,"1,251","1,285",107,0,"3,177",-44,1
2000,2500,0,81,"2,886","3,366","1,853",152,0,"8,338","5,838",3.3
2001,5351,0,124,"1,084","1,559","2,019",169,0,"4,955",-396,0.9
2002,3085,0,6,"1,998","1,404",951,8,0,"4,367","1,283",1.4
2003,2389,0,66,"1,945","1,439","1,349",0,0,"4,799",,
2004,4388,0,46,703,521,0,0,0,"1,271",,
2005,4633,0,173,"1,257",0,0,0,0,"1,430",,
2006,4559,0,4,0,0,0,0,0,4,,
2007,3852,0,0,0,0,0,0,0,0,,
2008,2158,0,0,0,0,0,0,0,0,,
2009,1630,,,,,,,,,,
