Year,Aerial Chinook North Fork,Aerial Chinook MF Goodnews,MF Weir Ecapement
1981,,,3688
1982,1990,1546,1395
1983,2600,2500,6027
1984,3245,1930,3260
1985,3535,2050,2831
1986,1068,1249,2080
1987,2234,2222,2272
1988,637,1024,2712
1989,651,1277,1915
1990,626,,3636
1991,,,1952
1992,875,1012,1905
1993,,,2349
1994,,,3856
1995,3314,,4836
1996,,,2931
1997,3611,1447,2937
1998,578,731,4584
1999,,,3221
2000,,,2500
2001,2799,3561,5351
2002,1195,1470,3085
2003,2015,1210,2389
2004,7462,2617,4388
2005,,,4633
2006,4159,1342,4559
2007,,,3852
2008,2371,1940,2158
2009,,,1630
2010,,,2176
2011,,,2045
2012,378,378,524
2013,,,1187
2014,630,612,750
2015,992,521,1494
2016,1122,1301,3767
2017,,,6881
