Year,Commercial Total Drainage,Subsistence Total Drainage,Sport Total Drainage,
1969,3978,,,
1970,7163,,,
1971,477,,,
1972,264,,,
1973,3543,,,
1974,3302,,,
1975,2156,,,
1976,4417,,,
1977,3336,574,,
1978,5218,,,
1979,3204,338,,
1980,2331,690,,
1981,7190,1409,0,
1982,9476,1236,0,
1983,14117,1066,31,
1984,8612,629,0,
1985,5793,426,323,
1986,2723,555,0,
1987,3357,816,0,
1988,4964,310,0,
1989,2966,467,68,
1990,3303,682,0,
1991,912,682,26,
1992,3528,252,23,
1993,2117,488,81,
1994,2570,657,163,
1995,2922,552,41,
1996,1375,526,157,
1997,2039,449,86,
1998,3675,718,431,
1999,1888,871,223,
2000,4442,601,243,
2001,1519,853,147,
2002,979,857,224,
2003,1412,737,10,
2004,2565,954,100,
2005,2035,868,0,
2006,2892,676,79,
2007,3112,24,177,
2008,1281,,78,
2009,1509,,,
2010,1759,,,
2011,2092,,,
2012,1531,,,
2013,495,,,
2014,205,,,
2015,705,,,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
