Year,SampleSize,Commercial Harvest,0.2,1.1,1.2,2.1,0.4,1.3,2.2,1.4,2.3,1.5,2.4,2.5,Percent Females,Mean Length
1970,,7163,,,,,,,,,,,,,,
1971,,477,,,,,,,,,,,,,,
1972,,264,,,,,,,,,,,,,,
1973,,3543,,,,,,,,,,,,,,
1974,,3302,,,,,,,,,,,,,,
1975,,2156,,,,,,,,,,,,,,
1976,,4417,,,,,,,,,,,,,,
1977,,3336,,,,,,,,,,,,,,
1978,,5218,,,,,,,,,,,,,,
1979,,3204,,,,,,,,,,,,,,
1980,,2331,,,,,,,,,,,,,,
1981,,7190,,,,,,,,,,,,,,
1982,,9476,,,,,,,,,,,,,,
1983,,14117,,,,,,,,,,,,,,
1984,,8612,,,,,,,,,,,,,,
1985,,5793,,,,,,,,,,,,,,
1986,,2723,,,,,,,,,,,,,,
1987,,3357,,,,,,,,,,,,,,
1988,,4964,,,,,,,,,,,,,,
1989,,2966,,,,,,,,,,,,,,
1990,148,3303,0,0,39.2,0,0,20.3,0,36.5,0.7,3.4,0,0,25.7,
1991,258,912,0,0,27.9,0,0,41.5,0.2,24.1,0,3.6,2.3,0.4,38.6,
1992,140,3528,0,0.7,29.9,0,0,35.3,1.1,30.5,0,1.5,1.1,0,35.2,
1993,152,2117,0,0,32.2,0,0,27.6,0,36.2,0,3.9,0,0,60.5,
1994,150,2570,0,0,18.7,0,0,37.3,0,41.3,0,2.7,0,0,52,
1995,196,2922,0,0,44.9,0,0,13.3,0,41.3,0,0.5,0,0,31.6,
1996,0,1375,,,,,,,,,,,,,,
1997,471,2039,0,0.8,46.6,0,0,12.3,0,38.8,0,1.4,0,0,32.1,714
1998,404,3675,0,1,16.2,0,0,57.6,0,22.3,0,2.4,0,0,25.8,722
1999,312,1888,0,0,26.5,0,0,13.6,0,58.5,0,1.4,0,0,51.7,
2000,376,4442,0,0,20.4,0,0,58.4,0,19.5,0,1.7,0,0,51.7,705
2001,262,1519,0,0.4,12.5,0,0,22.4,0,63.1,0,1.8,0,0,60.1,775
2002,164,979,0,0.6,38.2,0,0,31.4,0,27.9,0,1.7,0,0,22,644
2003,142,1412,0,1.4,23.9,0,0,31,0,40.8,0,2.8,0,0,,742
2004,129,2565,0,0,53.2,0,0,26.1,0,16.3,0,4.5,0,0,,655
2005,208,2035,0,0.5,27.9,0,0,58.7,0,13,0,0,0,0,13,683
2006,182,2892,0,0,33,0,0,45.1,0,20.3,0,1.6,0,0,17.6,674
2007,369,3112,0,0,39.8,0,0,21.9,0,35,0.6,0.4,2.3,0,27.5,696
2008,0,1281,,,,,,,,,,,,,,
2009,515,1509,0,0.2,52.9,0,0,19.2,0.2,26.1,0.8,0.5,0,0,21.3,643
2010,621,1759,0,1.6,32.3,0,0,50.8,0.2,13.7,0,0.9,0,0,23.4,666
2011,540,2092,0.2,0.2,62.6,0,0,21.4,0.3,15.1,0,0.4,0,0,12.1,611
2012,664,1531,0,0,19.2,0,0,65.6,0.2,15.1,0,0,0,0,28.7,703
2013,106,495,0,0,25.5,0,0.9,37.7,0,35.8,0,0,0,0,37.7,718
2014,17,205,,,,,,,,,,,,,,
2015,198,705,0,0.2,71.9,0,0,23.1,0,4.8,0,0,0,0,5.5,624
2016,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
