Year,Population,Subrigion,RiverBasin,logspawners,logrecruits,spawn.error,rec.error,SummerSST,WinterSST,MarineCompetitorsIndex,IceConcentrationIndex,BodySize,Uwind,RiverIceBreakup,max5dprcp_stand,maxq_spawn,mean_swe_icu,mean_swe_rear,medq_rear,mnprcp_rear_stand,maxDaily_spawn_stand,maxDaily_migrate,cdd_rear
1983,Aniak,Kuskokwim,Kuskokwim,9.105149485,10.02572756,0.121836655,0.319869465,-0.660522792,0.28175755,-1.3445648,-0.126869775,1.492710201,-0.049611727,1.675664633,-0.649793307,0.196711006,-1.426712831,-0.338869349,-1.402671196,-1.605746299,-1.299385748,0.819732697,-1.150093086
1984,Aniak,Kuskokwim,Kuskokwim,8.830778734,9.320682285,0.461662366,0.525560082,0.985020665,0.82020212,-1.489833947,-0.126869775,1.212412137,0.410774907,0.406154474,0.759260798,-1.584175888,-0.338869349,-0.106949297,1.028077872,-0.20000525,-1.150093086,-0.022202236,-1.67523089
1985,Aniak,Kuskokwim,Kuskokwim,8.471459789,9.904205076,0.482078575,0.345393372,-0.404228084,0.258006668,-1.27917655,-1.125804589,1.568583764,-0.335565368,0.867794532,-0.355227574,0.867600116,-0.106949297,-1.469852685,0.272875424,-0.506860488,-1.67523089,-1.682641954,-0.927091293
1986,Aniak,Kuskokwim,Kuskokwim,8.1834175,9.81052866,0.121857615,0.419320327,-0.805099294,-0.346118634,-1.295741835,0.044119074,1.127390713,0.533319712,0.059924431,-0.219894543,0.469547606,-1.469852685,0.26257826,-0.061666079,-1.052563403,-0.927091293,-0.215850394,-2.019745252
1987,Aniak,Kuskokwim,Kuskokwim,8.924234952,9.559105752,0.117734876,0.441595387,1.462123121,-0.168182843,-1.11856755,-0.333856261,0.801156433,2.009610415,0.059924431,-0.562836096,-1.396181338,0.26257826,2.098644263,-0.531065188,-0.551652361,-2.019745252,-1.219385729,1.188996386
1988,Aniak,Kuskokwim,Kuskokwim,8.755848516,10.67763768,0.113492457,0.235257286,1.242629705,-0.450256782,-1.123159668,-0.315857452,0.871173652,0.183154663,-0.517125642,0.286613588,-0.805357647,2.098644263,0.683210097,1.721293443,0.655589126,1.188996386,0.03832771,0.762575791
1989,Aniak,Kuskokwim,Kuskokwim,9.457242426,10.27205754,0.116492176,0.456619482,0.719525634,-0.319203977,-1.163538411,0.035119662,0.499952344,1.905602694,-0.286305613,0.05555828,0.439523073,0.683210097,3.434627747,-0.309614802,0.817046074,0.762575791,-0.829329241,1.527254191
1990,Aniak,Kuskokwim,Kuskokwim,9.21372088,10.03850168,0.099891336,0.495931119,-0.652636801,-0.535051202,-0.409177252,0.755072677,0.002418195,1.412793001,1.560254619,-1.622196063,0.434973902,3.434627747,0.481461549,0.567669421,-1.631509891,1.527254191,-0.012984539,0.309672284
1991,Aniak,Kuskokwim,Kuskokwim,8.931957083,9.621671719,0.092987058,0.446951929,0.561805814,0.268640913,0.239678913,-0.459848028,0.202147697,1.764180422,-0.9787657,-0.450713602,-0.216240078,0.481461549,0.689954358,-1.046363203,-0.527007708,0.309672284,0.076228505,1.187794876
1992,Aniak,Kuskokwim,Kuskokwim,9.441825416,9.681025657,0.102863814,0.526031025,1.313603624,-0.840046133,0.662912275,-0.44184922,0.338248855,1.299144904,-0.401715627,-0.180858276,-0.399799077,0.689954358,0.163845034,0.901264403,-0.32941519,1.187794876,0.37883035,-0.314740555
1993,Aniak,Kuskokwim,Kuskokwim,9.799278209,9.863246539,0.089637855,0.505074608,-0.40817108,0.768520328,0.87285227,0.521087951,0.328891266,-1.330623288,-0.517125642,0.919495682,0.714065649,0.163845034,0.932706976,1.494164841,-0.461813826,-0.314740555,1.395896597,0.801275429
1994,Aniak,Kuskokwim,Kuskokwim,9.996653368,8.760688962,0.097038377,0.503023007,0.088646354,-0.837131325,0.379401207,-0.92781748,0.36030738,-0.487292726,-0.170895598,0.011922287,0.472732026,0.932706976,-0.958422934,1.597792114,1.418300485,0.801275429,-1.38355906,0.032029931
1995,Aniak,Kuskokwim,Kuskokwim,9.949137085,9.508673733,0.118939397,0.466111642,0.055788058,-0.972404924,0.133278485,0.431093828,0.352492657,0.651356856,-0.9787657,-1.448570224,0.255509157,-0.958422934,-0.681773888,-0.080593462,-0.830212036,0.032029931,0.159708114,-0.904785335
