year,Cobs_rec,Cobs_rec_cv,Cobs_com,Effort_com,Cobs_com_cv,Cobs_sub,Cobs_sub_cv,Cobs_tst,CPE_tst,tower_nr,tower_nr_cv,weir_ur,weir_ur_cv,as_nr,as_owr,as_ur,rate_nr,rate_owr,rate_ur,stage_nr,stage_owr,stage_ur,p_nr,p_nr_sd,a3_com,a4_com,a5_com,a6_com,a7_com,a3_test,a4_test,a5_test,a6_test,a7_test,a3_esc_nr,a4_esc_nr,a5_esc_nr,a6_esc_nr,a7_esc_nr,a3_esc_ur,a4_esc_ur,a5_esc_ur,a6_esc_ur,a7_esc_ur
1982,NA,0.51,3768,2284,0.05,913,0.15,22,2.74,NA,0.5,NA,0.05,8,NA,NA,2,NA,NA,3,NA,NA,NA,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,93,0.51,7022,2650,0.05,1868,0.15,18,2.55,NA,0.5,NA,0.05,347,NA,NA,2,NA,NA,1,NA,NA,NA,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,39,0.51,6804,1532,0.05,1650,0.15,41,3.63,2844,0.5,NA,0.05,51,NA,NA,1,NA,NA,1,NA,NA,NA,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,179,0.51,12621,2657,0.05,1397,0.15,193,9.93,1426,0.5,NA,0.05,873,202,400,2,1,3,1,2,2,NA,0.04,0,3,16,139,42,0,24,38,76,16,0,0,0,0,0,0,0,0,0,0
1986,850,0.51,4494,2270,0.05,1339,0.15,52,2.19,1613,0.5,NA,0.05,NA,NA,373,NA,NA,2,NA,NA,2,NA,0.04,0,4,37,101,58,0,1,18,15,13,0,0,0,0,0,0,0,0,0,0
1987,NA,0.51,3246,1172,0.05,NA,0.15,52,2.23,NA,0.5,NA,0.05,445,132,344,1,1,1,2,3,2,NA,0.04,0,6,20,114,21,0,6,10,22,1,0,0,0,0,0,0,0,0,0,0
1988,NA,0.51,2218,1352,0.05,NA,0.15,15,0.67,NA,0.5,NA,0.05,202,311,923,1,1,1,3,3,2,NA,0.04,0,15,60,113,11,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0
1989,49,0.51,4402,1607,0.05,NA,0.15,50,2.03,NA,0.5,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,18,54,61,5,0,5,22,13,1,0,0,0,0,0,0,0,0,0,0
1990,276,0.51,5998,1648,0.05,2476,0.15,43,1.82,NA,0.5,NA,0.05,255,211,464,2,2,2,2,2,2,NA,0.04,0,13,42,84,1,0,11,18,9,2,0,0,0,0,0,0,0,0,0,0
1991,296,0.51,4534,1724,0.05,NA,0.15,36,1.71,NA,0.5,NA,0.05,661,403,1253,1,1,1,2,2,2,NA,0.04,0,43,55,59,3,0,15,6,8,3,0,0,0,0,0,0,0,0,0,0
1992,117,0.51,3402,1978,0.05,NA,0.15,25,1.18,NA,0.5,NA,0.05,329,NA,NA,2,NA,NA,2,NA,NA,NA,0.04,0,13,8,6,2,0,28,10,22,1,0,0,0,0,0,0,0,0,0,0
1993,382,0.51,5944,1457,0.05,NA,0.15,94,4.61,NA,0.5,NA,0.05,900,407,253,1,1,1,2,2,2,NA,0.04,0,38,38,58,5,0,43,23,17,0,0,0,0,0,0,0,0,0,0,0
1994,379,0.51,4400,868,0.05,3035,0.15,35,1.53,NA,0.5,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,3,123,74,0,0,2,23,6,1,0,0,0,0,0,0,0,0,0,0
1995,259,0.51,7617,3543,0.05,3114,0.15,99,4.79,NA,0.5,NA,0.05,622,424,532,1,1,1,2,2,2,NA,0.04,0,30,27,141,3,0,22,6,11,0,0,0,0,0,0,0,0,0,0,0
1996,384,0.41,3644,1283,0.05,3023,0.15,138,6.53,1197,0.1,NA,0.05,106,55,NA,1,1,NA,1,1,NA,NA,0.04,0,8,59,52,8,0,9,90,14,1,0,0,0,0,0,0,0,0,0,0
1997,842,0.29,9067,1182,0.05,4191,0.15,202,8.52,4185,0.1,NA,0.05,1605,246,991,2,2,2,2,2,2,0.372,0.04,0,46,21,80,2,0,39,14,59,1,0,0,0,0,0,0,0,0,0,0
