stock,year,spawners,total_returns,age_4_returns,age_5_returns,_age_6_returns ,age_7_returns,recruits,notes
Upper_Yukon,1981,103871,195472,8721,24798,114251,47702,230533,assume age comp from 1982
Upper_Yukon,1982,36060,160067,7141,20306,93557,39062,88002,
Upper_Yukon,1983,56234,181964,3555,30354,123520,24536,146041,assume age comp from 1985
Upper_Yukon,1984,60415,134044,1276,10995,92599,29174,159845,
Upper_Yukon,1985,40192,159084,1515,13049,109897,34624,125760,
Upper_Yukon,1986,49565,179444,6363,34047,86484,52550,222564,
Upper_Yukon,1987,32093,179912,6513,15466,124646,33287,132661,
Upper_Yukon,1988,45123,158222,13406,36036,38455,70325,153441,
Upper_Yukon,1989,60066,164199,11909,36401,88171,27719,288302,
Upper_Yukon,1990,78917,175087,24485,44478,90803,15321,109469,
Upper_Yukon,1991,51404,138542,3224,51755,64328,19235,274277,
Upper_Yukon,1992,40606,178946,10141,35333,128426,5046,81317,
Upper_Yukon,1993,50491,155861,16924,42362,78678,17898,147207,
Upper_Yukon,1994,65346,192340,8184,81956,86773,15426,62698,
Upper_Yukon,1995,68650,215381,11752,32296,157168,14165,88308,
Upper_Yukon,1996,80560,197670,5203,97496,62716,32255,93228,
Upper_Yukon,1997,75640,197771,8512,30172,152813,6273,142041,
Upper_Yukon,1998,33851,95911,2234,37939,43523,12215,141007,
Upper_Yukon,1999,44798,121443,2350,23042,93632,2419,105271,
Upper_Yukon,2000,20224,51167,1448,15247,27347,7124,101765,
Upper_Yukon,2001,68457,101235,4610,27900,58650,10075,124749,
Upper_Yukon,2002,53993,97384,6716,27804,50802,12061,56944,
Upper_Yukon,2003,91853,163391,2441,44683,103190,13077,99851,
Upper_Yukon,2004,55249,118652,5284,23596,83336,6436,56489,
Upper_Yukon,2005,69901,129378,2829,42510,77767,6272,78870,
Upper_Yukon,2006,64427,124435,4833,65753,52381,1467,58607,
Upper_Yukon,2007,36337,91420,6139,29852,53839,1589,46218,
Upper_Yukon,2008,34260,67054,2807,39879,22042,2327,43011,
Upper_Yukon,2009,65038,86294,8102,26482,51493,217,81258,
Upper_Yukon,2010,32297,61779,6315,30620,22503,2340,55590,
Upper_Yukon,2011,47049,70171,2692,24409,38373,4697,110956,
Upper_Yukon,2012,32425,50654,3582,19014,26284,1774,90974,
Upper_Yukon,2013,28531,38451,2463,11572,22817,1598,76364,
Upper_Yukon,2014,63376,65105,4638,32742,26030,1695,77937,
Upper_Yukon,2015,82705,88789,11401,30014,45547,1827,46424,
Upper_Yukon,2016,69222,83875,9881,53463,20023,507,NA,
Upper_Yukon,2017,69570,99628,5770,48062,44881,914,NA,
Upper_Yukon,2018,54940,76606,9634,33740,32021,1210,NA,
Upper_Yukon,2019,42295,86456,8480,41763,35203,1010,NA,
Upper_Yukon,2020,30879,52050,3990,21211,25200,1649,NA,
Upper_Yukon,2021,31551,33261,740,15011,16170,1340,NA,
Upper_Yukon,2022,12021,13353,953,5497,6340,563,NA,
Lower_Yukon,1981,54622,68402,11606,27642,28697,457,231458,
Lower_Yukon,1982,41857,70859,21891,33024,15109,835,51501,
Lower_Yukon,1983,45525,77899,14251,30907,32355,386,87186,
Lower_Yukon,1984,68957,122107,10673,45747,62587,3099,134937,
Lower_Yukon,1985,76295,143348,37596,20752,79430,5570,94413,
Lower_Yukon,1986,120063,156848,3226,89224,47787,16611,152146,
Lower_Yukon,1987,78906,116974,7748,10157,94254,4815,139974,
Lower_Yukon,1988,72898,114003,30771,37072,35777,10384,121755,
Lower_Yukon,1989,43476,88857,3748,43378,39390,2341,187138,
Lower_Yukon,1990,91914,129645,35934,34107,56629,2975,59393,
Lower_Yukon,1991,90627,144418,12469,73924,53865,4160,133443,
Lower_Yukon,1992,36597,73850,7721,25478,37959,2692,55589,
Lower_Yukon,1993,134634,178519,23923,54808,95459,4329,182390,
Lower_Yukon,1994,107242,147622,8012,76692,56351,6568,75661,
Lower_Yukon,1995,80469,121041,21794,24838,71533,2875,105642,
Lower_Yukon,1996,38645,75247,5138,28906,26213,14990,54614,
Lower_Yukon,1997,96555,154107,44333,28916,80527,330,91289,
Lower_Yukon,1998,54465,94414,11097,60691,20411,2215,136608,
Lower_Yukon,1999,67288,127869,15647,34754,76344,1123,81136,
Lower_Yukon,2000,34433,53872,2950,24230,25670,1021,118232,
Lower_Yukon,2001,82688,103673,13217,23486,62829,4141,106671,
Lower_Yukon,2002,75442,92794,26044,37566,26249,2935,51107,
Lower_Yukon,2003,129158,138087,20101,76610,39447,1929,125988,
Lower_Yukon,2004,79707,103603,32922,36411,33211,1059,29940,
Lower_Yukon,2005,79054,100249,18241,57019,24245,743,59093,
Lower_Yukon,2006,75427,96433,14056,54360,27638,379,68401,
Lower_Yukon,2007,67715,81878,27383,21222,32621,653,66833,
Lower_Yukon,2008,68019,78717,9005,52914,15349,1449,25230,
Lower_Yukon,2009,76936,81606,21827,14145,45155,480,91108,
Lower_Yukon,2010,38529,49874,18222,24637,6479,537,30553,
Lower_Yukon,2011,66895,73518,23661,37120,12425,311,56335,
Lower_Yukon,2012,42097,46949,5831,28187,12726,204,42183,
Lower_Yukon,2013,39645,41674,14908,11742,14691,333,68394,
Lower_Yukon,2014,64021,65125,8929,48248,7654,294,70791,
Lower_Yukon,2015,63366,64735,22513,14402,27818,2,74604,
Lower_Yukon,2016,46407,49815,16282,26200,7199,133,NA,
Lower_Yukon,2017,52157,56541,24925,24032,7560,23,NA,
Lower_Yukon,2018,46248,49541,17949,29747,1783,62,NA,
Lower_Yukon,2019,76131,85294,35507,36071,13629,86,NA,
Lower_Yukon,2020,50226,53489,4310,32332,16755,93,NA,
Lower_Yukon,2021,40123,40454,18704,14996,6738,15,NA,
Lower_Yukon,2022,14798,15242,5153,8665,1397,27,NA,
Middle_Yukon,1981,18913,141217,2845,16850,119531,1990,119835,
Middle_Yukon,1982,46474,95633,16443,23709,50154,5327,58593,
Middle_Yukon,1983,48296,128956,19554,28393,75189,5821,49613,
Middle_Yukon,1984,15760,97219,4492,38015,41106,13606,83285,
Middle_Yukon,1985,46021,98846,9518,18664,65310,5355,48098,
Middle_Yukon,1986,61699,80239,13709,34677,22847,9006,101497,
Middle_Yukon,1987,35005,81245,3850,10079,61496,5820,66206,
Middle_Yukon,1988,34721,64342,9419,10754,30025,14144,141383,
Middle_Yukon,1989,25955,54862,2270,18260,29551,4781,203707,
Middle_Yukon,1990,50751,96145,17380,21584,51724,5457,48209,
Middle_Yukon,1991,25825,72988,6277,39515,23314,3882,127197,
Middle_Yukon,1992,31886,78873,20124,14637,43182,931,32256,
Middle_Yukon,1993,65614,116775,31436,42951,40968,1420,117364,
Middle_Yukon,1994,87155,133901,5135,52128,72314,4325,29868,
Middle_Yukon,1995,93295,151444,12980,26547,105922,5995,48927,
Middle_Yukon,1996,51085,69934,6616,34218,14879,14221,59299,
Middle_Yukon,1997,94855,131243,36545,15314,77736,1647,54440,
Middle_Yukon,1998,28324,49703,2174,35244,10022,2263,90895,
Middle_Yukon,1999,54836,65303,5450,16386,43164,304,52801,
Middle_Yukon,2000,16305,23696,3611,7727,9947,2411,78715,
Middle_Yukon,2001,55576,65914,7273,26654,30626,1361,73810,
Middle_Yukon,2002,31619,56225,13217,13310,24574,5124,31116,
Middle_Yukon,2003,46038,79297,7319,35076,32441,4461,72832,
Middle_Yukon,2004,47515,76477,17829,16373,40858,1416,28641,
Middle_Yukon,2005,46585,72393,7732,35018,27899,1744,57569,
Middle_Yukon,2006,32170,65522,4818,34078,25417,1210,45607,
Middle_Yukon,2007,27352,59810,13064,15206,31090,450,34155,
Middle_Yukon,2008,23809,40899,4321,24905,10762,911,16768,
Middle_Yukon,2009,49917,62264,14845,13194,33894,331,58418,
Middle_Yukon,2010,25524,45620,8578,25668,10405,969,28856,
Middle_Yukon,2011,32280,45122,7315,20389,16697,721,61770,
Middle_Yukon,2012,24170,36645,3229,16683,16375,358,90634,
Middle_Yukon,2013,16339,19536,4444,5128,9699,265,50491,
Middle_Yukon,2014,44005,44954,5199,31024,8273,458,39451,
Middle_Yukon,2015,46807,49950,12180,14868,22765,137,34357,
Middle_Yukon,2016,43575,51332,16661,25804,8682,185,NA,
Middle_Yukon,2017,67159,84861,11697,49671,23386,108,NA,
Middle_Yukon,2018,41623,51994,5824,21689,24081,401,NA,
Middle_Yukon,2019,27653,50562,10630,22941,16769,221,NA,
Middle_Yukon,2020,20753,31899,4663,16238,10662,336,NA,
Middle_Yukon,2021,27757,28249,2229,18524,7472,23,NA,
Middle_Yukon,2022,8072,8438,1353,4257,2812,17,NA,
Kuskokwim,1976,112294,202894,16412,83351,99603,3528,261002,
Kuskokwim,1977,231699,NA,NA,NA,NA,NA,153405,
Kuskokwim,1978,155605,239927,30695,37476,144765,26991,117663,
Kuskokwim,1979,143364,239740,108850,60590,61712,8589,168214,
Kuskokwim,1980,267469,364517,65939,186843,88177,23558,130040,
Kuskokwim,1981,202774,314710,25952,106513,170626,11619,181619,
Kuskokwim,1982,36416,143770,12065,44194,82255,5257,141792,
Kuskokwim,1983,65934,149468,26444,39372,77224,6429,250054,
