year,quantity,mean,cv,pop
1980,totalrun,,,Salcha
1981,totalrun,,,Salcha
1982,totalrun,,,Salcha
1983,totalrun,,,Salcha
1984,totalrun,,,Salcha
1985,totalrun,,,Salcha
1986,totalrun,,,Salcha
1987,totalrun,17215,0.15,Salcha
1988,totalrun,14444,0.16,Salcha
1989,totalrun,14494,0.15,Salcha
1990,totalrun,20526,0.13,Salcha
1991,totalrun,17957,0.14,Salcha
1992,totalrun,20578,0.14,Salcha
1993,totalrun,25342,0.13,Salcha
1994,totalrun,31762,0.10,Salcha
1995,totalrun,27664,0.12,Salcha
1996,totalrun,15162,0.13,Salcha
1997,totalrun,26469,0.09,Salcha
1998,totalrun,11786,0.13,Salcha
1999,totalrun,12101,0.06,Salcha
2000,totalrun,7873,0.13,Salcha
2001,totalrun,14384,0.12,Salcha
2002,totalrun,16475,0.09,Salcha
2003,totalrun,22994,0.08,Salcha
2004,totalrun,24341,0.07,Salcha
2005,totalrun,14492,0.13,Salcha
2006,totalrun,18725,0.10,Salcha
2007,totalrun,15287,0.13,Salcha
2008,totalrun,10853,0.12,Salcha
2009,totalrun,16267,0.06,Salcha
2010,totalrun,12599,0.12,Salcha
2011,totalrun,12725,0.12,Salcha
2012,totalrun,10619,0.08,Salcha
2013,totalrun,6479,0.06,Salcha
2014,totalrun,5876,0.23,Salcha
2015,totalrun,7649,0.05,Salcha
2016,totalrun,5857,0.13,Salcha
2017,totalrun,8899,0.22,Salcha
2018,totalrun,8388,0.23,Salcha
2019,totalrun,9626,0.20,Salcha
1980,inriver,,,Salcha
1981,inriver,,,Salcha
1982,inriver,,,Salcha
1983,inriver,,,Salcha
1984,inriver,,,Salcha
1985,inriver,,,Salcha
1986,inriver,,,Salcha
1987,inriver,4776,0.10,Salcha
1988,inriver,4443,0.13,Salcha
1989,inriver,3666,0.18,Salcha
1990,inriver,10144,0.13,Salcha
1991,inriver,5604,0.11,Salcha
1992,inriver,7947,0.12,Salcha
1993,inriver,10010,0.04,Salcha
1994,inriver,18394,0.03,Salcha
1995,inriver,13599,0.03,Salcha
1996,inriver,8504,0.16,Salcha
1997,inriver,17949,0.05,Salcha
1998,inriver,5074,0.07,Salcha
1999,inriver,9205,0.03,Salcha
2000,inriver,5406,0.16,Salcha
2001,inriver,11153,0.13,Salcha
2002,inriver,9004,0.02,Salcha
2003,inriver,15230,0.05,Salcha
2004,inriver,15782,0.04,Salcha
2005,inriver,5991,0.03,Salcha
2006,inriver,10649,0.03,Salcha
2007,inriver,6415,0.04,Salcha
2008,inriver,5418,0.03,Salcha
2009,inriver,12643,0.03,Salcha
2010,inriver,6146,0.03,Salcha
2011,inriver,7664,0.14,Salcha
2012,inriver,7153,0.02,Salcha
2013,inriver,5484,0.05,Salcha
2014,inriver,5576,0.24,Salcha
2015,inriver,6764,0.04,Salcha
2016,inriver,2834,0.11,Salcha
2017,inriver,4204,0.05,Salcha
2018,inriver,5031,0.03,Salcha
2019,inriver,4759,0.11,Salcha
1980,spawners,,,Salcha
1981,spawners,,,Salcha
1982,spawners,,,Salcha
1983,spawners,,,Salcha
1984,spawners,,,Salcha
1985,spawners,,,Salcha
1986,spawners,,,Salcha
1987,spawners,4490,0.12,Salcha
1988,spawners,4171,0.14,Salcha
1989,spawners,3397,0.20,Salcha
1990,spawners,9807,0.14,Salcha
1991,spawners,5190,0.13,Salcha
1992,spawners,7891,0.12,Salcha
1993,spawners,9312,0.06,Salcha
1994,spawners,17615,0.04,Salcha
1995,spawners,12019,0.08,Salcha
1996,spawners,7117,0.20,Salcha
1997,spawners,17194,0.06,Salcha
1998,spawners,4941,0.07,Salcha
1999,spawners,8732,0.04,Salcha
2000,spawners,5322,0.17,Salcha
2001,spawners,11029,0.14,Salcha
2002,spawners,8711,0.02,Salcha
2003,spawners,14037,0.06,Salcha
2004,spawners,15285,0.04,Salcha
2005,spawners,5604,0.04,Salcha
2006,spawners,10308,0.03,Salcha
2007,spawners,5911,0.05,Salcha
2008,spawners,5335,0.03,Salcha
2009,spawners,12189,0.04,Salcha
2010,spawners,5980,0.03,Salcha
2011,spawners,7280,0.16,Salcha
2012,spawners,7053,0.03,Salcha
2013,spawners,5483,0.05,Salcha
2014,spawners,5575,0.24,Salcha
2015,spawners,6741,0.05,Salcha
2016,spawners,2802,0.12,Salcha
2017,spawners,4203,0.05,Salcha
2018,spawners,4778,0.06,Salcha
2019,spawners,4758,0.11,Salcha
1980,recruits,15974,0.30,Salcha
1981,recruits,19647,0.22,Salcha
1982,recruits,13076,0.20,Salcha
1983,recruits,13744,0.17,Salcha
1984,recruits,18421,0.15,Salcha
1985,recruits,16522,0.15,Salcha
1986,recruits,16932,0.14,Salcha
1987,recruits,17293,0.17,Salcha
1988,recruits,34766,0.12,Salcha
1989,recruits,38494,0.12,Salcha
1990,recruits,11065,0.20,Salcha
1991,recruits,30707,0.12,Salcha
1992,recruits,9467,0.27,Salcha
1993,recruits,18178,0.14,Salcha
1994,recruits,6166,0.24,Salcha
1995,recruits,12291,0.18,Salcha
1996,recruits,13508,0.18,Salcha
1997,recruits,11894,0.24,Salcha
1998,recruits,37501,0.10,Salcha
1999,recruits,12906,0.20,Salcha
2000,recruits,17117,0.14,Salcha
2001,recruits,18861,0.14,Salcha
2002,recruits,9819,0.19,Salcha
2003,recruits,16386,0.13,Salcha
2004,recruits,7486,0.19,Salcha
2005,recruits,18459,0.12,Salcha
2006,recruits,13443,0.12,Salcha
2007,recruits,9619,0.12,Salcha
2008,recruits,3728,0.24,Salcha
2009,recruits,7718,0.18,Salcha
2010,recruits,4971,0.15,Salcha
2011,recruits,6219,0.15,Salcha
2012,recruits,11685,0.12,Salcha
2013,recruits,7140,0.18,Salcha
2014,recruits,8908,0.24,Salcha
2015,recruits,9965,0.49,Salcha
2016,recruits,8801,0.76,Salcha
2017,recruits,,,Salcha
2018,recruits,,,Salcha
2019,recruits,,,Salcha
1979,totalrun,,,Chena
1980,totalrun,,,Chena
1981,totalrun,,,Chena
1982,totalrun,,,Chena
1983,totalrun,,,Chena
1984,totalrun,,,Chena
1985,totalrun,,,Chena
1986,totalrun,14460,0.13,Chena
1987,totalrun,15887,0.15,Chena
1988,totalrun,10440,0.16,Chena
1989,totalrun,10001,0.16,Chena
1990,totalrun,13536,0.16,Chena
1991,totalrun,12187,0.16,Chena
1992,totalrun,15413,0.15,Chena
1993,totalrun,21771,0.11,Chena
1994,totalrun,22941,0.12,Chena
1995,totalrun,23106,0.13,Chena
1996,totalrun,13823,0.12,Chena
1997,totalrun,19214,0.08,Chena
1998,totalrun,10113,0.13,Chena
1999,totalrun,9185,0.08,Chena
2000,totalrun,8103,0.17,Chena
2001,totalrun,12256,0.07,Chena
2002,totalrun,13828,0.16,Chena
2003,totalrun,17250,0.08,Chena
2004,totalrun,14603,0.08,Chena
2005,totalrun,9551,0.24,Chena
2006,totalrun,8915,0.16,Chena
2007,totalrun,9179,0.15,Chena
2008,totalrun,7208,0.14,Chena
2009,totalrun,8082,0.09,Chena
2010,totalrun,5938,0.15,Chena
2011,totalrun,5528,0.22,Chena
2012,totalrun,4463,0.13,Chena
2013,totalrun,2697,0.10,Chena
2014,totalrun,7381,0.01,Chena
2015,totalrun,6876,0.04,Chena
2016,totalrun,8129,0.07,Chena
2017,totalrun,8648,0.11,Chena
2018,totalrun,7938,0.08,Chena
2019,totalrun,5823,0.16,Chena
1979,inriver,,,Chena
1980,inriver,,,Chena
1981,inriver,,,Chena
1982,inriver,,,Chena
1983,inriver,,,Chena
1984,inriver,,,Chena
1985,inriver,,,Chena
1986,inriver,10732,0.14,Chena
1987,inriver,7779,0.13,Chena
1988,inriver,4318,0.18,Chena
1989,inriver,3383,0.13,Chena
1990,inriver,6220,0.22,Chena
1991,inriver,3874,0.13,Chena
1992,inriver,6814,0.13,Chena
1993,inriver,12201,0.03,Chena
1994,inriver,11949,0.04,Chena
1995,inriver,13434,0.14,Chena
1996,inriver,8744,0.15,Chena
1997,inriver,13076,0.05,Chena
1998,inriver,4954,0.11,Chena
1999,inriver,6628,0.06,Chena
2000,inriver,6542,0.20,Chena
2001,inriver,9576,0.06,Chena
2002,inriver,8751,0.26,Chena
2003,inriver,10965,0.06,Chena
2004,inriver,9602,0.06,Chena
2005,inriver,4276,0.52,Chena
2006,inriver,2933,0.05,Chena
2007,inriver,3789,0.06,Chena
2008,inriver,3219,0.06,Chena
2009,inriver,5236,0.04,Chena
2010,inriver,2371,0.06,Chena
2011,inriver,2521,0.46,Chena
2012,inriver,2232,0.06,Chena
2013,inriver,1944,0.07,Chena
2014,inriver,7189,0.01,Chena
2015,inriver,6278,0.03,Chena
2016,inriver,6625,0.05,Chena
2017,inriver,5301,0.06,Chena
2018,inriver,5931,0.04,Chena
2019,inriver,2405,0.04,Chena
1979,spawners,,,Chena
1980,spawners,,,Chena
1981,spawners,,,Chena
1982,spawners,,,Chena
1983,spawners,,,Chena
1984,spawners,,,Chena
1985,spawners,,,Chena
1986,spawners,10732,0.14,Chena
1987,spawners,7779,0.13,Chena
1988,spawners,4318,0.18,Chena
1989,spawners,3383,0.13,Chena
1990,spawners,6220,0.22,Chena
1991,spawners,3874,0.13,Chena
1992,spawners,6814,0.13,Chena
1993,spawners,12201,0.03,Chena
1994,spawners,11949,0.04,Chena
1995,spawners,13434,0.14,Chena
1996,spawners,8744,0.15,Chena
1997,spawners,13076,0.05,Chena
1998,spawners,4954,0.11,Chena
1999,spawners,6628,0.06,Chena
2000,spawners,6542,0.20,Chena
2001,spawners,9576,0.06,Chena
2002,spawners,8751,0.26,Chena
2003,spawners,10965,0.06,Chena
2004,spawners,9602,0.06,Chena
2005,spawners,4276,0.52,Chena
2006,spawners,2933,0.05,Chena
2007,spawners,3789,0.06,Chena
2008,spawners,3219,0.06,Chena
2009,spawners,5236,0.04,Chena
2010,spawners,2371,0.06,Chena
2011,spawners,2521,0.46,Chena
2012,spawners,2232,0.06,Chena
2013,spawners,1944,0.07,Chena
2014,spawners,7189,0.01,Chena
2015,spawners,6278,0.03,Chena
2016,spawners,6625,0.05,Chena
2017,spawners,5301,0.06,Chena
2018,spawners,5931,0.04,Chena
2019,spawners,2405,0.04,Chena
