"model_id","scenario","quantity","pop","year","mean","sd"
"SSM-vm","base","alpha","Aniak",NA,3.42967908043446,1.54147499596021
"SSM-vm","base","beta","Aniak",NA,8.48459408558481e-05,2.75410904567171e-05
"SSM-vm","base","logR","Aniak",1976,7.62050300849382,1.05399292981354
"SSM-vm","base","logR","Aniak",1977,10.5347696797092,0.402865569205299
"SSM-vm","base","logR","Aniak",1978,8.99455225474266,0.801491350496292
"SSM-vm","base","logR","Aniak",1979,8.05296829680949,0.924547491812311
"SSM-vm","base","logR","Aniak",1980,7.78710585367102,0.810853125406992
"SSM-vm","base","logR","Aniak",1981,9.33470741593936,0.354977278382077
"SSM-vm","base","logR","Aniak",1982,8.44526345262863,0.576496896023888
"SSM-vm","base","logR","Aniak",1983,9.59209878272181,0.289876705498919
"SSM-vm","base","logR","Aniak",1984,8.44625207138396,0.619152731229784
"SSM-vm","base","logR","Aniak",1985,10.0565179727085,0.269754308693984
"SSM-vm","base","logR","Aniak",1986,9.26564687103418,0.576159142875653
"SSM-vm","base","logR","Aniak",1987,10.0498997645838,0.428142978306933
"SSM-vm","base","logR","Aniak",1988,10.2334048459189,0.433073159424585
"SSM-vm","base","logR","Aniak",1989,10.0828351870484,0.553089182724439
"SSM-vm","base","logR","Aniak",1990,10.6240571495413,0.389008327670393
"SSM-vm","base","logR","Aniak",1991,9.16906478310926,0.569670591594814
"SSM-vm","base","logR","Aniak",1992,10.1668003814446,0.43312654469789
"SSM-vm","base","logR","Aniak",1993,9.44834942564393,0.651915870073861
"SSM-vm","base","logR","Aniak",1994,8.09036671852192,0.767101278411158
"SSM-vm","base","logR","Aniak",1995,8.58511271421238,0.667239436343137
"SSM-vm","base","logR","Aniak",1996,9.94386657681422,0.407788371076806
"SSM-vm","base","logR","Aniak",1997,10.2312990434012,0.466071645416017
"SSM-vm","base","logR","Aniak",1998,10.0112888012153,0.603512688621041
"SSM-vm","base","logR","Aniak",1999,10.5903246497255,0.458276889327472
"SSM-vm","base","logR","Aniak",2000,10.8714823583919,0.349753280623952
"SSM-vm","base","logR","Aniak",2001,9.80395940705347,0.603116094270607
"SSM-vm","base","logR","Aniak",2002,11.0681554136125,0.329215402208775
"SSM-vm","base","logR","Aniak",2003,10.0100205581221,0.661502031516747
"SSM-vm","base","logR","Aniak",2004,8.44658939461631,0.73810396289793
"SSM-vm","base","logR","Aniak",2005,9.16289871768726,0.556979258180187
"SSM-vm","base","logR","Aniak",2006,8.65713969478496,0.68563863298331
"SSM-vm","base","logR","Aniak",2007,8.61339765955759,0.560381145137471
