WaterbodyName,NearestCommunity,AYKRegion,Basin,Subbasin,Area
Goodnews River,Goodnews Bay,T,Kuskokwim,KuskokwimBay,Lower
Aniak River,Aniak,T,Kuskokwim,LowerKusko,Lower
Aniak Slough,Aniak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Bethel,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Kalskag,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Akiak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Tuluksak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Napakiak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Kwethluk,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Akiachak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Napaskiak,T,Kuskokwim,LowerKusko,Lower
Kuskokwim River,Oscarville,T,Kuskokwim,LowerKusko,Lower
Kwethluk River,Kwethluk,T,Kuskokwim,LowerKusko,Lower
Kwigillingok River,Kwigillingok,T,Kuskokwim,LowerKusko,Lower
Tuluksak River,Tuluksak,T,Kuskokwim,LowerKusko,Lower
Tuluksak River,Nyac,T,Kuskokwim,LowerKusko,Lower
Andreafsky River,St. Marys,T,Yukon,LowerYukon,Lower
Anvik River,Anvik,T,Yukon,LowerYukon,Lower
Iditarod River,Flat,T,Yukon,LowerYukon,Lower
Innoko River,Shageluk,T,Yukon,LowerYukon,Lower
Innoko River,Ophir,T,Yukon,LowerYukon,Lower
Innoko River,Holikachuk,T,Yukon,LowerYukon,Lower
Nulato River,Nulato,T,Yukon,LowerYukon,Lower
Otter Creek,Flat,T,Yukon,LowerYukon,Lower
Yukon River,Emmonak,T,Yukon,LowerYukon,Lower
Yukon River,Russian Mission,T,Yukon,LowerYukon,Lower
Yukon River,Kaltag,T,Yukon,LowerYukon,Lower
Yukon River,Nulato,T,Yukon,LowerYukon,Lower
Yukon River,Holy Cross,T,Yukon,LowerYukon,Lower
Yukon River,Mountain Village,T,Yukon,LowerYukon,Lower
Yukon River,Alakanuk,T,Yukon,LowerYukon,Lower
Yukon River,Marshall,T,Yukon,LowerYukon,Lower
Yukon River,Anvik,T,Yukon,LowerYukon,Lower
Yukon River,Pilot Station,T,Yukon,LowerYukon,Lower
Yukon River,Grayling,T,Yukon,LowerYukon,Lower
Yukon River,Pitkas Point,T,Yukon,LowerYukon,Lower
Yukon River,Fortuna Ledge,T,Yukon,LowerYukon,Lower
Yukon River,Hamilton,T,Yukon,LowerYukon,Lower
