WaterbodyName,NearestCommunity,YearsStudyPeriod,YearsTotal
Alatna River,Allakaket,1,37
Anchor River,Anchor Point,16,19
Andreafsky River,St. Marys,0,15
Aniak River,Aniak,0,30
Anvik River,Anvik,0,14
Buckland River,Buckland,32,32
Chandalar River,Venetie,0,12
Chatanika River,Elliott Hwy Bridge,14,15
Chatanika River,Steese Highway,13,13
Chena River,Fairbanks,29,99
Chisana River,Northway,31,49
Chistochina River,Mankomen Lake,3,11
Colville River,Colville Village,21,21
Colville River,Umiat,20,31
Copper River,Chitina,3,29
Copper River,Copper Center,5,23
Copper River,Gakona,7,12
Crooked Creek,Central,12,12
Crooked Creek,Crooked Creek,6,18
Egegik River,Egegik,2,30
Fish River,White Mountain,1,30
Gakona River,Gakona,36,53
Goodnews River,Goodnews Bay,1,17
Gulkana River,Gakona,34,48
Iditarod River,Flat,0,14
Innoko River,Holikachuk,0,21
Innoko River,Ophir,2,17
John River,Bettles,0,11
Johnson River,Nunapitchuk,0,23
Kanektok River,Quinhagak,1,21
Kenai River,Kenai,0,17
Kenai River,Soldotna,8,16
Kenai River,Sterling,0,17
Kennicott River,McCarthy,16,16
Kiwalik River,Candle,0,12
Kobuk River,Ambler,37,45
Kobuk River,Kiana,14,43
Kobuk River,Kobuk,38,69
Kobuk River,Noorvik,3,33
Kobuk River,Shungnak,33,51
Koyuk River,Koyuk,0,12
Koyukuk River,Allakaket,37,70
Koyukuk River,Bettles,41,83
Koyukuk River,Hughes,36,67
Koyukuk River,Huslia,16,25
Koyukuk River,Wiseman,13,32
Kuk River,Wainwright,0,14
Kuskokwim River,Akiachak,10,10
Kuskokwim River,Akiak,36,59
Kuskokwim River,Aniak,41,63
Kuskokwim River,Bethel,42,95
Kuskokwim River,Chuathbaluk,13,13
Kuskokwim River,Crooked Creek,37,65
Kuskokwim River,Kalskag,36,61
Kuskokwim River,Kwethluk,10,10
Kuskokwim River,McGrath,42,94
Kuskokwim River,Medfra,0,17
Kuskokwim River,Napaimute,10,25
Kuskokwim River,Napakiak,27,33
Kuskokwim River,Nikolai,37,44
Kuskokwim River,Red Devil,37,37
Kuskokwim River,Sleetmute,33,60
Kuskokwim River,Stony River,34,48
Kuskokwim River,Tuluksak,30,32
Kwigillingok River,Kwigillingok,1,15
Kwiniuk River,Moses Point,0,17
Little Susitna River,Palmer,27,31
Matanuska River,Palmer,2,18
Mekoryuk River,Nunivak,0,11
Montana Creek,Trapper Creek,11,16
Moose River,Sterling,0,21
Nabesna River,Northway,4,24
Naknek River,King Salmon,3,16
Nenana River,McKinley Park,0,20
Newhalen River,Iliamna,0,11
Noatak River,Noatak,26,39
Nushagak River,Dillingham,0,24
Nushagak River,Ekwok,5,30
Puntilla Lake,Puntilla,0,18
Sagavanirktok River,Deadhorse,13,22
Selawik River,Selawik,4,32
Skwentna River,Skwentna,28,43
Slana River,Slana,0,12
Squirrel River,Kiana,3,22
Susitna River,Curry,0,10
Susitna River,Gold Creek,9,11
Susitna River,Sunshine,33,37
Susitna River,Talkeetna,0,25
Takotna River,Takotna,3,23
Talkeetna River,Talkeetna,5,23
Tanana River,Fairbanks,21,21
Tanana River,Manley Hot Springs,31,39
Tanana River,Nenana,42,105
Tanana River,Old Minto,0,17
Tanana River,Tanacross,5,16
Tonsina River,Tonsina,18,23
Unalakleet River,Unalakleet,1,22
Wild River,Bettles,0,12
Willow Creek,Willow,11,29
Willow Lake,Willow,7,13
Wiseman Creek,Wiseman,12,12
Wood River,Aleknagik,0,10
Yentna River,Fish Creek,24,24
Yukon River,Alakanuk,34,37
Yukon River,Anvik,33,70
Yukon River,Beaver,27,54
Yukon River,Circle,39,73
Yukon River,Dalton Hwy Bridge,11,11
Yukon River,Dawson,42,126
Yukon River,Eagle,42,111
Yukon River,Emmonak,38,40
Yukon River,Fort Yukon,38,101
Yukon River,Fortuna Ledge,0,14
Yukon River,Galena,41,66
Yukon River,Grayling,14,19
Yukon River,Hamilton,0,25
Yukon River,Holy Cross,36,115
Yukon River,Kaltag,36,63
Yukon River,Kokrines,0,13
Yukon River,Koyukuk,16,30
Yukon River,Marshall,32,60
Yukon River,Mountain Village,35,60
Yukon River,Nulato,26,64
Yukon River,Pilot Station,25,42
Yukon River,Rampart,26,70
Yukon River,Ruby,38,66
Yukon River,Russian Mission,37,53
Yukon River,Stevens Village,25,51
Yukon River,Tanana,38,103
Yukon River,Whitehorse,0,13
