Year,SSB,CV_SSB,Recruitment,CV_Rec,Age_3_Biomass,CV_Age3
1964,553,27,6554,38,1855,22
1965,655,23,21536,25,2256,20
1966,761,22,15341,32,2419,20
1967,954,19,25831,26,3679,17
1968,1178,19,22257,28,4201,17
1969,1436,18,26220,26,5297,16
1970,1669,18,23559,27,5937,15
1971,1757,17,14515,33,6367,13
1972,1663,17,11893,33,6038,13
1973,1396,18,27239,19,4855,14
1974,1040,21,20278,19,3594,16
1975,886,20,17710,18,3710,12
1976,903,16,14137,17,3670,10
1977,949,13,15435,14,3646,9
1978,977,12,27339,10,3564,9
1979,975,11,63868,6,3557,8
1980,1126,9,25906,9,4537,7
1981,1820,6,32595,8,8422,5
1982,2712,5,17262,10,9542,5
1983,3341,5,49586,6,10807,5
1984,3601,5,13493,10,10622,5
1985,3866,5,32162,6,12566,4
1986,4057,4,12208,10,11766,4
1987,4123,4,6697,10,12114,3
1988,4032,3,5634,10,11217,3
1989,3552,3,11662,7,9344,3
1990,2810,3,49829,3,7406,3
1991,2075,4,26038,5,5818,3
1992,2213,3,22119,6,9252,3
1993,3123,3,46156,4,11552,3
1994,3472,3,15289,6,11296,3
1995,3669,3,10478,7,12886,3
1996,3688,3,22828,5,11257,3
1997,3521,3,30874,4,10042,3
1998,3206,3,15135,6,9712,3
1999,3230,3,16358,5,10652,3
2000,3245,3,25388,4,9796,3
2001,3261,3,35124,4,9527,3
2002,3064,3,23389,4,9829,3
2003,3215,3,14286,5,11779,2
2004,3311,3,6546,7,11087,2
2005,3039,3,4656,8,9271,3
2006,2494,3,11694,6,7108,3
2007,2071,3,25255,4,5753,3
2008,1546,4,14108,6,4699,3
2009,1636,4,53119,4,5883,3
2010,1885,4,23884,6,6272,3
2011,2296,4,14913,8,9001,3
2012,2693,4,13270,9,9111,4
2013,3044,4,57241,8,9130,4
2014,2978,5,57254,9,8622,5
2015,3100,6,13282,16,12073,6
2016,3975,7,6396,24,15486,7
2017,4495,8,9690,25,13794,8
2018,4033,9,18415,19,10964,9
2019,3637,11,19131,22,9892,10
2020,2961,12,18177,22,8693,11
