Year,mean,n,Population,Region
1960,NA,NA,Aniak,Kuskokwim
1961,NA,NA,Aniak,Kuskokwim
1962,NA,NA,Aniak,Kuskokwim
1963,NA,NA,Aniak,Kuskokwim
1964,NA,NA,Aniak,Kuskokwim
1965,NA,NA,Aniak,Kuskokwim
1966,NA,NA,Aniak,Kuskokwim
1967,NA,NA,Aniak,Kuskokwim
1968,NA,NA,Aniak,Kuskokwim
1969,NA,NA,Aniak,Kuskokwim
1970,NA,NA,Aniak,Kuskokwim
1971,NA,NA,Aniak,Kuskokwim
1972,NA,NA,Aniak,Kuskokwim
1973,NA,NA,Aniak,Kuskokwim
1974,NA,NA,Aniak,Kuskokwim
1975,848.375,8,Aniak,Kuskokwim
1976,NA,NA,Aniak,Kuskokwim
1977,NA,NA,Aniak,Kuskokwim
1978,NA,NA,Aniak,Kuskokwim
1979,NA,NA,Aniak,Kuskokwim
1980,763.25,8,Aniak,Kuskokwim
1981,841.8064516,31,Aniak,Kuskokwim
1982,NA,NA,Aniak,Kuskokwim
1983,887.5,4,Aniak,Kuskokwim
1984,NA,NA,Aniak,Kuskokwim
1985,859.137931,29,Aniak,Kuskokwim
1986,NA,NA,Aniak,Kuskokwim
1987,NA,NA,Aniak,Kuskokwim
1988,NA,NA,Aniak,Kuskokwim
1989,896.9130435,23,Aniak,Kuskokwim
1990,NA,NA,Aniak,Kuskokwim
1991,NA,NA,Aniak,Kuskokwim
1992,829.1481481,33,Aniak,Kuskokwim
1993,NA,NA,Aniak,Kuskokwim
1994,NA,NA,Aniak,Kuskokwim
1995,NA,NA,Aniak,Kuskokwim
1996,573.75,4,Aniak,Kuskokwim
1997,NA,NA,Aniak,Kuskokwim
1998,NA,NA,Aniak,Kuskokwim
1999,NA,NA,Aniak,Kuskokwim
2000,NA,NA,Aniak,Kuskokwim
2001,NA,NA,Aniak,Kuskokwim
2002,NA,NA,Aniak,Kuskokwim
2003,NA,NA,Aniak,Kuskokwim
2004,NA,NA,Aniak,Kuskokwim
2005,NA,NA,Aniak,Kuskokwim
2006,NA,NA,Aniak,Kuskokwim
2007,737.3958333,48,Aniak,Kuskokwim
2008,NA,NA,Aniak,Kuskokwim
