Project,Sample Year,Observation Date,District,Sub District,Location,ASLProjectType,Gear,Mesh,Period,Run,Sex Determination Method,Card No,Fish Num,Sex,Length,Length Type,Age Fresh,Age Salt,Total Age,Age Error,Aging Structure
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,1,male,820,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,2,female,496,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,3,male,643,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,4,female,731,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,5,female,569,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/2/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,1,6,male,732,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,1,female,842,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,2,female,651,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,3,male,659,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,4,female,582,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,5,female,744,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,6,male,625,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,7,male,379,Mid-eye to fork of tail,1,1,3,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,8,male,570,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,9,male,585,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,2,10,male,581,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,3,1,male,755,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,3,2,male,841,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,3,3,male,721,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/3/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,3,4,female,698,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,1,male,482,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,2,female,702,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,3,female,801,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,4,female,684,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,5,male,464,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,6,male,546,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,7,female,512,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,8,male,641,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,9,male,709,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/4/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,4,10,male,569,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,1,female,873,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,2,male,598,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,3,male,600,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,4,male,660,Mid-eye to fork of tail,1,4,6,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,5,male,430,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,6,male,525,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,7,male,727,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,8,male,575,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,9,male,541,Mid-eye to fork of tail,1,2,4,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,5,10,male,556,Mid-eye to fork of tail,1,3,5,,scale
George River Escapement,2017,7/8/2017,Kuskokwim,,George River,Escapement,Weir,,,Single Run,External,6,1,male,595,Mid-eye to fork of tail,1,2,4,,scale
