Year,chumTotalAK,pinkTotalAK,sockTotalAK,chumTotal,pinkTotal,sockTotal
1952,16.94578435,40.91098969,32.17231367,52.8845154,198.0298015,43.36883766
1953,16.01749707,29.48664064,19.86309647,51.81341993,336.5290869,37.46064695
1954,18.48614425,47.0515148,17.68415224,72.10515694,179.7949782,41.41865651
1955,11.79034633,45.37515508,15.99502046,76.79848744,294.413004,36.12798123
1956,16.5829095,50.80749123,34.26217769,83.50301847,260.8135208,52.79739395
1957,18.06571109,26.84565845,25.88943101,65.21015374,362.0339953,49.61559379
1958,15.36388933,45.67269583,12.6291009,71.38825014,187.0299165,48.67168752
1959,12.76545186,27.52856182,20.16663473,64.69149348,240.0020938,44.53427379
1960,15.36816879,34.15113259,47.69177356,66.6642341,125.0629748,70.63123373
1961,12.90686658,35.67211507,31.91365746,55.63493101,182.1236784,57.15678853
1962,15.67396225,64.83270893,20.067064,59.72835971,162.859114,42.65297514
1963,11.3828611,54.69809943,14.78602488,56.90625241,224.2375817,36.72645385
1964,15.95653182,70.78035831,19.4038791,62.47367783,146.2015324,36.84533537
1965,10.25980687,33.70596417,69.36333895,54.1967671,205.1036429,85.00321812
1966,14.65072658,64.26861645,29.6805527,65.76635054,161.1151013,48.52430858
1967,11.04645422,14.40971375,19.47378802,53.36919848,175.2447665,43.81197564
1968,13.62470941,70.66817134,18.42442462,52.56626682,172.0482063,45.21931492
1969,8.701264788,39.59173257,30.08879,37.75984077,220.7792867,46.99137567
1970,16.78047561,48.75422879,54.89286923,61.5971249,132.2029342,74.04584333
1971,16.44056866,39.57073412,26.74412413,56.72684267,202.78803,64.68984232
1972,15.66817283,29.03723241,14.16140327,67.05384394,126.2276425,30.86498341
1973,16.56855074,23.60697267,10.22133192,64.46537428,158.6269034,34.38991331
1974,15.39716706,26.26583267,18.89549098,63.35282406,133.9360774,40.78925166
1975,15.8186937,29.5611048,32.22550912,65.09948149,228.2673373,45.62859631
1976,17.67920675,61.21768605,24.167092,67.6877679,199.0080226,38.07502265
1977,19.43984114,52.06077487,23.73756419,60.29373372,279.1204321,41.15558247
1978,16.30743212,101.9210959,34.39991858,61.78988022,234.0968415,53.29712679
1979,16.54021163,89.14757622,54.17933966,63.79159519,319.9023766,72.96225849
1980,22.26812338,102.1096991,78.89890063,70.96206904,244.4852059,91.81747014
1981,25.14643324,95.24467688,52.10003499,79.93166253,297.883815,75.39118318
1982,20.9234406,101.4371903,42.75405895,77.9039689,223.2043036,71.52918737
1983,19.01949286,96.26864639,67.06122829,80.15333231,431.0079915,85.67192703
1984,27.54423084,129.6769174,61.06651196,91.55350575,308.7731516,78.4189277
1985,23.42187596,150.7997375,60.34739031,107.1433526,326.2901376,90.12851622
1986,23.72527923,129.5650594,45.98733581,108.4174982,261.7616152,72.18913268
1987,22.81412716,79.53184134,52.59463981,93.32364236,270.3310462,73.50489421
1988,29.08138399,83.59446518,43.98483258,111.9554261,212.1579015,59.81483431
1989,17.77218903,154.1733495,65.55440267,99.0824594,364.3859048,93.97463351
1990,15.84349602,131.2303708,72.49225747,113.6078584,303.0355966,106.1354168
1991,18.79745071,168.9556021,69.1940533,105.296214,486.0193237,97.33946229
1992,20.00508994,102.4769168,77.18684913,92.41229349,277.2341688,102.3099968
1993,19.96686372,154.7708283,82.29478237,122.8190881,398.5924679,128.4224913
1994,29.75558501,166.1467856,76.44558374,137.4188704,453.748659,107.1856214
1995,33.98986649,194.7398113,87.49838054,146.2317973,434.867605,109.3064562
1996,37.7695413,175.732428,66.02713032,161.8954254,424.2513281,90.35054036
1997,28.24333707,128.6344303,44.35388294,132.9529677,401.9695761,74.42772085
1998,33.29086926,170.2368819,36.98474962,134.4686715,443.5715796,57.90935872
1999,35.16848587,247.4650379,67.95281292,115.1650486,501.0739726,82.84052309
2000,38.0245473,124.0280681,49.88221823,113.9506684,381.8192568,71.57366661
2001,28.10025014,195.5609886,43.91080314,133.7195502,401.8196412,65.20970745
2002,27.85134577,163.9500278,36.90361902,120.6152433,382.8857158,70.14725424
2003,31.95775926,196.4706834,52.52191246,135.5352607,466.3283391,73.22480034
2004,29.92254748,178.2715845,69.9149721,143.1787787,361.2705607,89.22644995
2005,31.19958067,246.6687311,64.94236554,131.3057068,594.4661709,87.00332854
2006,31.88802417,117.7066557,58.98605306,143.5614929,344.0283572,88.44484352
2007,29.09610925,202.4476525,62.15858265,130.8848695,548.7740497,84.62535261
2008,27.25805631,122.8436426,54.93321264,118.1742491,328.1716624,74.55549145
2009,26.88671997,145.4104006,56.38877014,145.4959184,657.1627969,75.17885728
2010,29.14438647,151.2099612,56.06738451,131.8277851,407.2142707,104.3931974
2011,31.06340652,178.7042242,54.37707227,123.904235,653.762543,82.3595777
2012,33.30778751,109.0368273,50.92400669,136.2527179,435.5747755,77.86348468
2013,34.9386286,315.3694794,45.10896115,146.6062529,577.8224288,73.41635786
2014,22.33199017,141.113057,63.62981144,144.186359,355.8470816,105.2081075
2015,32.23484629,262.1491722,83.89194696,157.2126108,549.4208599,108.4010669
2016,32.23484629,262.1491722,83.89194696,157.2126108,549.4208599,108.4010669
2017,32.23484629,262.1491722,83.89194696,157.2126108,549.4208599,108.4010669
2018,32.23484629,262.1491722,83.89194696,157.2126108,549.4208599,108.4010669
2019,32.23484629,262.1491722,83.89194696,157.2126108,549.4208599,108.4010669
