Year,1,2,3,4,5,6,7,8,9,10,11,12
1948,0.553871393,0.854484797,2.576776266,8.190336227,6.968389034,-1.474331141,-0.964836836,2.842259169,4.940336227,6.209679604,5.554002762,-0.222578973
1949,-1.404515862,-1.327854156,2.270002365,5.345335007,5.356452465,6.228335381,5.819678783,4.711290836,3.12733674,3.179680109,3.495337009,-0.861611128
1950,-3.169675827,0.641432643,1.368389487,2.405668736,1.643550754,3.099001646,2.924840689,-0.149031118,1.469334364,4.957744598,2.722668409,1.43000102
1951,2.968387127,0.506787956,3.83161521,0.976668298,5.286776066,0.986335218,3.624840498,3.816776514,3.018002272,3.812904596,2.913335562,-0.531932235
1952,-2.634514093,1.801381111,2.84806633,3.181001902,2.641293049,0.237668857,3.11968112,1.506775856,4.037334919,4.75742054,4.225667953,0.525485635
1953,-1.825483799,2.636074543,2.624841928,4.00833559,3.595485449,2.455001831,3.196777344,6.313873291,4.542001724,1.957098722,3.576335669,1.977421403
1954,2.185808182,1.685716867,0.174840614,5.966334343,3.228066206,4.61700201,3.710969448,0.59387356,2.735667467,6.941615582,6.943336487,2.661937475
1955,1.119355679,3.742143869,6.17097044,2.904003382,2.52645278,1.092001796,5.080646515,3.79903388,5.130002022,1.21903348,0.629334509,-2.36354661
1956,-0.739675701,0.73034668,5.80580759,8.277335167,6.712583542,3.512001514,2.839357376,3.926454544,2.525337219,4.084841251,3.778002024,-1.392900586
1957,-3.43419075,2.941072702,4.125484467,0.918002307,5.298389435,2.383336306,4.360002041,2.811292648,5.199002743,3.62387228,2.812334299,-0.502902627
1958,1.670647383,1.046786189,6.101935387,5.666000843,5.490001678,5.615334034,2.476130724,6.327421188,7.470667362,8.070968628,4.527001858,2.862258434
1959,2.726453304,4.623931885,5.487743378,2.04633379,1.331615329,2.650335073,3.092904329,0.918388605,5.176667213,5.712259293,5.175668716,2.69387269
1960,3.272903919,1.420000792,7.760000706,5.968001366,2.048387051,2.431001902,3.256774426,3.826774836,6.432334423,4.543550968,5.940666676,1.792904735
1961,4.553227425,2.582502604,2.973226309,4.287668228,2.465163231,1.863335133,4.080000877,3.941613436,1.470334411,5.405808926,3.970001221,4.489355087
