name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Goodnews,1980,92,8.769799720714781,0.0,31.780000686645508,6568.579990815371,749,0.0
Henshaw,1980,92,70.9874727784599,54.540000915527344,98.62000274658203,124157.08988952637,1749,0.0
SFKoyukuk,1980,92,68.27331707544238,51.77000045776367,147.92999267578125,461459.35011291504,6759,0.0
Sheenjek,1980,92,77.22473310524309,34.849998474121094,227.42999267578125,1096591.210094452,14200,0.0
Teedriinjik,1980,92,70.58969824312184,26.209999084472656,187.27000427246094,2088890.3504104614,29592,0.0
Tozitna,1980,92,75.24575751441222,52.939998626708984,122.69999694824219,345679.0100212097,4594,0.0
Barton,1980,92,47.06209159785492,38.650001525878906,54.86000061035156,16424.669967651367,349,0.0
Gisasa,1980,92,68.3224057289205,47.18000030517578,107.95999908447266,95992.9800491333,1405,0.0
SFNulato,1980,92,75.91084173097622,52.77000045776367,109.86000061035156,67636.5599822998,891,0.0
Rodo,1980,92,75.08968738409189,58.849998474121094,98.98999786376953,31237.309951782227,416,0.0
Chatanika,1980,92,56.037919201436715,39.04999923706055,97.91999816894531,324515.59009552,5791,0.0
Nulato,1980,92,74.61351757377606,50.84000015258789,126.30000305175781,182206.20991516113,2442,0.0
Blind,1980,92,130.5238235324037,92.16000366210938,179.8300018310547,66567.15000152588,510,0.0
Goodpaster,1980,92,101.48747388272363,63.880001068115234,173.39999389648438,407370.7201652527,4014,0.0
Kogrukluk,1980,92,23.725041124171316,13.510000228881836,34.02000045776367,49039.66000366211,2067,0.0
Tuluksak,1980,92,25.50093621875516,14.609999656677246,51.040000915527344,56382.56997966766,2211,0.0
Oskawalik,1980,92,32.87925257634355,25.100000381469727,42.83000183105469,45307.610050201416,1378,0.0
Anvik,1980,92,78.43127105728736,58.86000061035156,123.20999908447266,377646.5701408386,4815,0.0
Tatchun,1980,92,95.2732747969472,74.87999725341797,145.67999267578125,114042.1099319458,1197,0.0
Wolf,1980,92,230.8633753145245,120.08999633789062,485.54998779296875,917912.7802505493,3976,0.0
Kisaralik,1980,92,20.740642764623814,11.3100004196167,44.189998626708984,56144.91996383667,2707,0.0
Klondike,1980,92,90.0362478335005,57.380001068115234,182.08999633789062,773861.5501289368,8595,0.0
Unalakleet,1980,92,85.11908290984542,58.59000015258789,137.1300048828125,486370.4397468567,5714,0.0
Salcha,1980,92,70.86827465790732,32.900001525878906,154.9499969482422,438674.6201324463,6190,0.0
McQuesten,1980,92,78.24862501232691,47.20000076293945,155.36000061035156,402354.429813385,5142,0.0
Tatlawiksuk,1980,92,33.7809623281161,17.299999237060547,84.66000366210938,68102.42005348206,2016,0.0
Pitka,1980,92,85.36220634699235,43.15999984741211,531.510009765625,166370.9401702881,1949,0.0
Chena,1980,92,58.28922937582205,32.540000915527344,95.31999969482422,362325.84980010986,6216,0.0
SouthMacmillan,1980,92,118.20321919281399,73.75,210.16000366210938,641843.48021698,5430,0.0
Swift,1980,92,68.1477996792816,12.739999771118164,712.5399780273438,428649.6599826813,6290,0.0
Kwethluk,1980,92,16.701019891825588,6.380000114440918,42.279998779296875,58787.590019226074,3520,0.0
LittleSalmon,1980,92,115.36413978989775,81.80999755859375,163.7899932861328,432500.16007232666,3749,0.0
Nisling,1980,92,64.42302158519284,32.61000061035156,107.23999786376953,579936.040309906,9002,0.0
Takhini,1980,92,219.77177922588322,67.76000213623047,1090.260009765625,1812018.3197174072,8245,0.0
Takotna,1980,92,41.29357094921595,28.709999084472656,95.94000244140625,248504.7099723816,6018,0.0
Nisutlin,1980,92,133.94362779442088,105.22000122070312,199.38999938964844,457819.31980133057,3418,0.0
EFAndreafsky,1980,92,76.63481830192221,54.4900016784668,111.73999786376953,156028.49006271362,2036,0.0
BigSalmon,1980,92,111.53288178913108,79.25,181.5,779837.9094696045,6992,0.0
Aniak,1980,92,29.151222400711227,14.079999923706055,49.939998626708984,145231.39000034332,4982,0.0
Ross,1980,92,126.29576703086755,90.06999969482422,207.9199981689453,977150.3495178223,7737,0.0
YukonMainstem,1980,92,178.6004583048379,55.5,2656.2099609375,16981867.3769989,95083,0.0
Holokuk,1980,92,29.535223020288587,20.969999313354492,43.279998779296875,34438.070041656494,1166,0.0
George,1980,92,36.64829013794295,24.049999237060547,57.380001068115234,134389.2799358368,3667,0.0
Atchuelinguk,1980,92,66.39483842580331,53.209999084472656,125.81999969482422,293797.1600341797,4425,0.0
Teslin,1980,92,191.79949648140246,77.43000030517578,485.54998779296875,6879272.540298462,35867,0.0
Andreafsky,1980,92,76.44775501402312,54.2599983215332,117.5,436210.89011001587,5706,0.0
Holitna,1980,92,16.266954990894035,0.0,73.36000061035156,272129.89004266635,16729,0.0
Goodnews,1981,92,29.30420564873037,13.710000038146973,66.4800033569336,21948.850030899048,749,0.0
Henshaw,1981,92,105.87006866298042,84.12999725341797,166.39999389648438,185166.75009155273,1749,0.0
