location,instrumentSite,start_date,end_date,flag
Chandindu River,1,ok,ok,
Eagle Sonar (Yukon/Canadian Border),1,9/4/2015,9/5/2015,air
Eagle Sonar (Yukon/Canadian Border),2,9/4/2015,9/5/2015,air
Emmonak (Village/City),1,ok,ok,
Emmonak (Village/City),2,ok,ok,
Klondike River,1,ok,ok,
Klondike River,2,ok,ok,
Kwiniuk River Tower,1,drop,,
Mayo River,1,ok,ok,
Mayo River,2,ok,ok,
Mayo River,3,ok,ok,
Nordenskiold River,1,ok,ok,
Nordenskiold River,2,7/7/2007,7/9/2007,air
Nordenskiold River,2,8/28/2007,9/14/2007,air
Nordenskiold River,2,6/10/2008,6/10/2008,air
Nordenskiold River,2,7/10/2008,7/10/2008,air
Nordenskiold River,2,8/10/2008,8/10/2008,air
Nordenskiold River,2,9/8/2008,9/8/2008,air
Nordenskiold River,2,9/10/2008,9/10/2008,air
Rapids South (Left) Fish Wheel,1,7/25/2008,7/27/2008,air
Rapids South (Left) Fish Wheel,NA,ok,ok,
Rapids South (Left) Fish Wheel,2,ok,ok,
