Site,comid,ds_distance
Pilot Station,81025423,220.10988107976772
Eagle,81014243,2286.8572082702203
EFAndreafsky,81025705,197.20070164043975
Gisasa,81013203,1038.9732372930212
Chena,81014439,1698.5363290858809
Salcha,81015621,1776.4604716383892
Carmacks,81023615,2933.6235240044603
LowerMainstem,81010252,2019.4996846998379
MiddleMainstem,81020037,2614.751220774217
Pelly,81021739,2790.7697617975787
Stewart,81020046,2596.630258444108
Teslin,81027433,3119.411183661564
UpperLakesAndMainstem,81027431,3119.411183661564
WhiteDonjek,81020081,2614.751220774217
George,81025632,450.52680357840444
"Goodnews, MF",81035810,10.893010963940268
Kogrukluk,81029381,739.9078137629166
Kwethluk,81032602,233.75686488130702
Takotna,81020062,785.9248108858629
Tatlawiksuk,81025842,584.2624103296752
Tuluksak,81029669,214.62615999049177
Aniak,81027561,299.5510936267828
Holitna ,81025466,497.8278831649723
Holokuk,81027562,359.2614879185017
Kisaralik,81029113,118.27334989637266
Oskawalik,81025527,400.78319155484564
Pitka,81022068,929.5795083062302
Swift,81025625,579.9370183720756
