Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
George River Escapement,,,1996,06/15,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,06/16,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,06/17,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,06/18,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,06/19,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,06/20,George River,Chinook,2,2,Estimated,Weir
George River Escapement,,,1996,06/21,George River,Chinook,27,27,Counted,Weir
George River Escapement,,,1996,06/22,George River,Chinook,17,17,Counted,Weir
George River Escapement,,,1996,06/23,George River,Chinook,269,269,Counted,Weir
George River Escapement,,,1996,06/24,George River,Chinook,762,762,Counted,Weir
George River Escapement,,,1996,06/25,George River,Chinook,214,214,Counted,Weir
George River Escapement,,,1996,06/26,George River,Chinook,41,41,Counted,Weir
George River Escapement,,,1996,06/27,George River,Chinook,183,183,Counted,Weir
George River Escapement,,,1996,06/28,George River,Chinook,98,98,Counted,Weir
George River Escapement,,,1996,06/29,George River,Chinook,300,300,Estimated,Weir
George River Escapement,,,1996,06/30,George River,Chinook,84,84,Counted,Weir
George River Escapement,,,1996,07/01,George River,Chinook,1034,1034,Counted,Weir
George River Escapement,,,1996,07/02,George River,Chinook,361,361,Estimated,Weir
George River Escapement,,,1996,07/03,George River,Chinook,389,389,Counted,Weir
George River Escapement,,,1996,07/04,George River,Chinook,320,320,Counted,Weir
George River Escapement,,,1996,07/05,George River,Chinook,280,280,Counted,Weir
George River Escapement,,,1996,07/06,George River,Chinook,579,579,Counted,Weir
George River Escapement,,,1996,07/07,George River,Chinook,180,180,Counted,Weir
George River Escapement,,,1996,07/08,George River,Chinook,122,122,Counted,Weir
George River Escapement,,,1996,07/09,George River,Chinook,436,436,Counted,Weir
George River Escapement,,,1996,07/10,George River,Chinook,127,127,Counted,Weir
George River Escapement,,,1996,07/11,George River,Chinook,376,376,Counted,Weir
George River Escapement,,,1996,07/12,George River,Chinook,53,53,Counted,Weir
George River Escapement,,,1996,07/13,George River,Chinook,60,60,Counted,Weir
George River Escapement,,,1996,07/14,George River,Chinook,127,127,Counted,Weir
George River Escapement,,,1996,07/15,George River,Chinook,324,324,Counted,Weir
George River Escapement,,,1996,07/16,George River,Chinook,78,78,Counted,Weir
George River Escapement,,,1996,07/17,George River,Chinook,67,67,Counted,Weir
George River Escapement,,,1996,07/18,George River,Chinook,107,107,Counted,Weir
George River Escapement,,,1996,07/19,George River,Chinook,63,63,Counted,Weir
George River Escapement,,,1996,07/20,George River,Chinook,49,49,Counted,Weir
George River Escapement,,,1996,07/21,George River,Chinook,58,58,Counted,Weir
George River Escapement,,,1996,07/22,George River,Chinook,26,26,Counted,Weir
George River Escapement,,,1996,07/23,George River,Chinook,29,29,Counted,Weir
George River Escapement,,,1996,07/24,George River,Chinook,54,54,Counted,Weir
George River Escapement,,,1996,07/25,George River,Chinook,34,34,Counted,Weir
George River Escapement,,,1996,07/26,George River,Chinook,17,17,Counted,Weir
George River Escapement,,,1996,07/27,George River,Chinook,23,23,Estimated,Weir
George River Escapement,,,1996,07/28,George River,Chinook,19,19,Estimated,Weir
George River Escapement,,,1996,07/29,George River,Chinook,17,17,Estimated,Weir
George River Escapement,,,1996,07/30,George River,Chinook,14,14,Estimated,Weir
George River Escapement,,,1996,07/31,George River,Chinook,12,12,Estimated,Weir
George River Escapement,,,1996,08/01,George River,Chinook,10,10,Estimated,Weir
George River Escapement,,,1996,08/02,George River,Chinook,9,9,Estimated,Weir
George River Escapement,,,1996,08/03,George River,Chinook,7,7,Estimated,Weir
George River Escapement,,,1996,08/04,George River,Chinook,6,6,Estimated,Weir
George River Escapement,,,1996,08/05,George River,Chinook,6,6,Estimated,Weir
George River Escapement,,,1996,08/06,George River,Chinook,5,5,Estimated,Weir
George River Escapement,,,1996,08/07,George River,Chinook,4,4,Estimated,Weir
George River Escapement,,,1996,08/08,George River,Chinook,3,3,Estimated,Weir
George River Escapement,,,1996,08/09,George River,Chinook,3,3,Estimated,Weir
George River Escapement,,,1996,08/10,George River,Chinook,3,3,Estimated,Weir
George River Escapement,,,1996,08/11,George River,Chinook,2,2,Estimated,Weir
George River Escapement,,,1996,08/12,George River,Chinook,2,2,Estimated,Weir
George River Escapement,,,1996,08/13,George River,Chinook,2,2,Estimated,Weir
George River Escapement,,,1996,08/14,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/15,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/16,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/17,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/18,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/19,George River,Chinook,1,1,Estimated,Weir
George River Escapement,,,1996,08/20,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/21,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/22,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/23,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/24,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/25,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/26,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/27,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/28,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/29,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/30,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,08/31,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/01,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/02,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/03,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/04,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/05,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/06,George River,Chinook,0,0,Estimated,Weir
George River Escapement,,,1996,09/07,George River,Chinook,0,0,Estimated,Weir
