Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Goodnews River (Middle Fork) Escapement,,,1991,06/25,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,06/26,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,06/27,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,06/28,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,06/29,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,06/30,Goodnews River (Middle Fork),Chinook,12,12,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/01,Goodnews River (Middle Fork),Chinook,60,60,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/02,Goodnews River (Middle Fork),Chinook,4,4,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/03,Goodnews River (Middle Fork),Chinook,78,78,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/04,Goodnews River (Middle Fork),Chinook,53,53,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/05,Goodnews River (Middle Fork),Chinook,59,59,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/06,Goodnews River (Middle Fork),Chinook,78,78,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/07,Goodnews River (Middle Fork),Chinook,15,15,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/08,Goodnews River (Middle Fork),Chinook,49,49,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/09,Goodnews River (Middle Fork),Chinook,174,174,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/10,Goodnews River (Middle Fork),Chinook,256,256,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/11,Goodnews River (Middle Fork),Chinook,118,118,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/12,Goodnews River (Middle Fork),Chinook,189,189,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/13,Goodnews River (Middle Fork),Chinook,23,23,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/14,Goodnews River (Middle Fork),Chinook,3,3,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/15,Goodnews River (Middle Fork),Chinook,107,107,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/16,Goodnews River (Middle Fork),Chinook,4,4,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/17,Goodnews River (Middle Fork),Chinook,150,150,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/18,Goodnews River (Middle Fork),Chinook,28,28,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/19,Goodnews River (Middle Fork),Chinook,46,46,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/20,Goodnews River (Middle Fork),Chinook,64,64,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/21,Goodnews River (Middle Fork),Chinook,75,75,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/22,Goodnews River (Middle Fork),Chinook,17,17,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/23,Goodnews River (Middle Fork),Chinook,96,96,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/24,Goodnews River (Middle Fork),Chinook,116,116,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/25,Goodnews River (Middle Fork),Chinook,44,44,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/26,Goodnews River (Middle Fork),Chinook,17,17,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/27,Goodnews River (Middle Fork),Chinook,8,8,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/28,Goodnews River (Middle Fork),Chinook,8,8,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/29,Goodnews River (Middle Fork),Chinook,31,31,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/30,Goodnews River (Middle Fork),Chinook,22,22,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,07/31,Goodnews River (Middle Fork),Chinook,15,15,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/01,Goodnews River (Middle Fork),Chinook,20,20,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/02,Goodnews River (Middle Fork),Chinook,5,5,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1991,08/03,Goodnews River (Middle Fork),Chinook,14,14,Counted,Weir
