Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kogrukluk River Escapement,,,1981,06/26,Kogrukluk River,Chinook,0,0,Estimated,Weir
Kogrukluk River Escapement,,,1981,06/27,Kogrukluk River,Chinook,5,5,Estimated,Weir
Kogrukluk River Escapement,,,1981,06/28,Kogrukluk River,Chinook,334,334,Counted,Weir
Kogrukluk River Escapement,,,1981,06/29,Kogrukluk River,Chinook,533,533,Counted,Weir
Kogrukluk River Escapement,,,1981,06/30,Kogrukluk River,Chinook,562,562,Counted,Weir
Kogrukluk River Escapement,,,1981,07/01,Kogrukluk River,Chinook,617,617,Counted,Weir
Kogrukluk River Escapement,,,1981,07/02,Kogrukluk River,Chinook,904,904,Counted,Weir
Kogrukluk River Escapement,,,1981,07/03,Kogrukluk River,Chinook,879,879,Counted,Weir
Kogrukluk River Escapement,,,1981,07/04,Kogrukluk River,Chinook,740,740,Counted,Weir
Kogrukluk River Escapement,,,1981,07/05,Kogrukluk River,Chinook,1001,1001,Counted,Weir
Kogrukluk River Escapement,,,1981,07/06,Kogrukluk River,Chinook,1080,1080,Counted,Weir
Kogrukluk River Escapement,,,1981,07/07,Kogrukluk River,Chinook,1215,1215,Counted,Weir
Kogrukluk River Escapement,,,1981,07/08,Kogrukluk River,Chinook,773,773,Counted,Weir
Kogrukluk River Escapement,,,1981,07/09,Kogrukluk River,Chinook,1047,1047,Counted,Weir
Kogrukluk River Escapement,,,1981,07/10,Kogrukluk River,Chinook,983,983,Counted,Weir
Kogrukluk River Escapement,,,1981,07/11,Kogrukluk River,Chinook,749,749,Counted,Weir
Kogrukluk River Escapement,,,1981,07/12,Kogrukluk River,Chinook,526,526,Counted,Weir
Kogrukluk River Escapement,,,1981,07/13,Kogrukluk River,Chinook,491,491,Counted,Weir
Kogrukluk River Escapement,,,1981,07/14,Kogrukluk River,Chinook,458,458,Counted,Weir
Kogrukluk River Escapement,,,1981,07/15,Kogrukluk River,Chinook,560,560,Counted,Weir
Kogrukluk River Escapement,,,1981,07/16,Kogrukluk River,Chinook,452,452,Counted,Weir
