Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/15,Kwethluk River,Chinook,0,0,Estimated,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/16,Kwethluk River,Chinook,0,0,Estimated,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/17,Kwethluk River,Chinook,0,0,Estimated,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/18,Kwethluk River,Chinook,0,0,Estimated,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/19,Kwethluk River,Chinook,0,0,Estimated,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/20,Kwethluk River,Chinook,0,0,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/21,Kwethluk River,Chinook,0,0,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/22,Kwethluk River,Chinook,2,2,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/23,Kwethluk River,Chinook,3,3,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/24,Kwethluk River,Chinook,2,2,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/25,Kwethluk River,Chinook,36,36,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/26,Kwethluk River,Chinook,42,42,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/27,Kwethluk River,Chinook,64,64,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/28,Kwethluk River,Chinook,55,55,Counted,Weir
Kwethluk River Escapement,Operated by US Fish and Wildlife Service.,Contact Ken Harper for information at Ken_Harper@fws.gov or 907-262-9863.,1992,06/29,Kwethluk River,Chinook,89,89,Counted,Weir
