Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Salmon River (Pitka Fork) Escapement,,,1981,06/24,Salmon River (Pitka Fork),Chinook,1,1,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/25,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/26,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/27,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/28,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/29,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,06/30,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/01,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/02,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/03,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/04,Salmon River (Pitka Fork),Chinook,1,1,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/05,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/06,Salmon River (Pitka Fork),Chinook,1,1,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/07,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/08,Salmon River (Pitka Fork),Chinook,1,1,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/09,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/10,Salmon River (Pitka Fork),Chinook,102,102,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/11,Salmon River (Pitka Fork),Chinook,21,21,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/12,Salmon River (Pitka Fork),Chinook,99,99,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/13,Salmon River (Pitka Fork),Chinook,58,58,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/14,Salmon River (Pitka Fork),Chinook,448,448,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/15,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/16,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/17,Salmon River (Pitka Fork),Chinook,17,17,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/18,Salmon River (Pitka Fork),Chinook,33,33,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/19,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/20,Salmon River (Pitka Fork),Chinook,3,3,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/21,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/22,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/23,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/24,Salmon River (Pitka Fork),Chinook,18,18,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/25,Salmon River (Pitka Fork),Chinook,20,20,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/26,Salmon River (Pitka Fork),Chinook,11,11,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/27,Salmon River (Pitka Fork),Chinook,10,10,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/28,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/29,Salmon River (Pitka Fork),Chinook,7,7,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/30,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1981,07/31,Salmon River (Pitka Fork),Chinook,2,2,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/09,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/10,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/11,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/12,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/13,Salmon River (Pitka Fork),Chinook,0,0,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/14,Salmon River (Pitka Fork),Chinook,4,4,Counted,Weir
Salmon River (Pitka Fork) Escapement,,,1982,07/15,Salmon River (Pitka Fork),Chinook,5,5,Counted,Weir
