Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Salmon River (Aniak) Escapement,,,2006,06/15,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/16,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/17,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/18,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/19,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/20,Salmon River (Aniak),Chinook,0,0,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,06/21,Salmon River (Aniak),Chinook,0,0,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/22,Salmon River (Aniak),Chinook,0,0,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/23,Salmon River (Aniak),Chinook,2,2,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/24,Salmon River (Aniak),Chinook,1,1,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/25,Salmon River (Aniak),Chinook,0,0,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/26,Salmon River (Aniak),Chinook,0,0,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/27,Salmon River (Aniak),Chinook,0,0,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/28,Salmon River (Aniak),Chinook,3,3,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/29,Salmon River (Aniak),Chinook,2,2,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,06/30,Salmon River (Aniak),Chinook,1,1,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/01,Salmon River (Aniak),Chinook,19,19,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/02,Salmon River (Aniak),Chinook,12,12,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/03,Salmon River (Aniak),Chinook,13,13,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/04,Salmon River (Aniak),Chinook,20,20,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/05,Salmon River (Aniak),Chinook,69,69,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/06,Salmon River (Aniak),Chinook,308,308,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/07,Salmon River (Aniak),Chinook,406,406,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/08,Salmon River (Aniak),Chinook,91,91,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/09,Salmon River (Aniak),Chinook,445,445,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/10,Salmon River (Aniak),Chinook,207,207,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/11,Salmon River (Aniak),Chinook,218,218,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/12,Salmon River (Aniak),Chinook,253,253,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/13,Salmon River (Aniak),Chinook,157,157,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/14,Salmon River (Aniak),Chinook,330,330,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,07/15,Salmon River (Aniak),Chinook,231,231,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/16,Salmon River (Aniak),Chinook,216,216,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/17,Salmon River (Aniak),Chinook,336,336,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,07/18,Salmon River (Aniak),Chinook,515,515,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/19,Salmon River (Aniak),Chinook,295,295,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/20,Salmon River (Aniak),Chinook,289,289,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/21,Salmon River (Aniak),Chinook,391,391,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/22,Salmon River (Aniak),Chinook,218,218,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/23,Salmon River (Aniak),Chinook,273,273,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/24,Salmon River (Aniak),Chinook,136,136,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/25,Salmon River (Aniak),Chinook,155,155,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/26,Salmon River (Aniak),Chinook,104,104,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/27,Salmon River (Aniak),Chinook,118,118,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/28,Salmon River (Aniak),Chinook,193,193,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/29,Salmon River (Aniak),Chinook,124,124,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/30,Salmon River (Aniak),Chinook,64,64,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,07/31,Salmon River (Aniak),Chinook,82,82,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/01,Salmon River (Aniak),Chinook,75,75,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/02,Salmon River (Aniak),Chinook,114,114,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/03,Salmon River (Aniak),Chinook,102,102,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/04,Salmon River (Aniak),Chinook,84,84,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/05,Salmon River (Aniak),Chinook,62,62,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/06,Salmon River (Aniak),Chinook,47,47,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/07,Salmon River (Aniak),Chinook,43,43,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/08,Salmon River (Aniak),Chinook,45,45,Counted,Weir
Salmon River (Aniak) Escapement,,,2006,08/09,Salmon River (Aniak),Chinook,8,8,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/10,Salmon River (Aniak),Chinook,5,5,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/11,Salmon River (Aniak),Chinook,5,5,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/12,Salmon River (Aniak),Chinook,5,5,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/13,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/14,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/15,Salmon River (Aniak),Chinook,2,2,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/16,Salmon River (Aniak),Chinook,1,1,Estimated,Weir
Salmon River (Aniak) Escapement,,,2006,08/17,Salmon River (Aniak),Chinook,1,1,Estimated,Weir
