Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Takotna River Escapement,,,2000,06/24,Takotna River,Chinook,0,0,Counted,Weir
Takotna River Escapement,,,2000,06/25,Takotna River,Chinook,2,2,Counted,Weir
Takotna River Escapement,,,2000,06/26,Takotna River,Chinook,2,2,Counted,Weir
Takotna River Escapement,,,2000,06/27,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,06/28,Takotna River,Chinook,0,0,Counted,Weir
Takotna River Escapement,,,2000,06/29,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,06/30,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,07/01,Takotna River,Chinook,0,0,Counted,Weir
Takotna River Escapement,,,2000,07/02,Takotna River,Chinook,15,15,Counted,Weir
Takotna River Escapement,,,2000,07/03,Takotna River,Chinook,16,16,Counted,Weir
Takotna River Escapement,,,2000,07/04,Takotna River,Chinook,3,3,Counted,Weir
Takotna River Escapement,,,2000,07/05,Takotna River,Chinook,14,14,Counted,Weir
Takotna River Escapement,,,2000,07/06,Takotna River,Chinook,7,7,Counted,Weir
Takotna River Escapement,,,2000,07/07,Takotna River,Chinook,12,12,Counted,Weir
Takotna River Escapement,,,2000,07/08,Takotna River,Chinook,37,37,Counted,Weir
Takotna River Escapement,,,2000,07/09,Takotna River,Chinook,9,9,Counted,Weir
Takotna River Escapement,,,2000,07/10,Takotna River,Chinook,3,3,Counted,Weir
Takotna River Escapement,,,2000,07/11,Takotna River,Chinook,8,8,Counted,Weir
Takotna River Escapement,,,2000,07/12,Takotna River,Chinook,22,22,Counted,Weir
Takotna River Escapement,,,2000,07/13,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,07/14,Takotna River,Chinook,3,3,Counted,Weir
Takotna River Escapement,,,2000,07/15,Takotna River,Chinook,4,4,Counted,Weir
Takotna River Escapement,,,2000,07/16,Takotna River,Chinook,4,4,Counted,Weir
Takotna River Escapement,,,2000,07/17,Takotna River,Chinook,2,2,Counted,Weir
Takotna River Escapement,,,2000,07/18,Takotna River,Chinook,6,6,Counted,Weir
Takotna River Escapement,,,2000,07/19,Takotna River,Chinook,4,4,Counted,Weir
Takotna River Escapement,,,2000,07/20,Takotna River,Chinook,8,8,Counted,Weir
Takotna River Escapement,,,2000,07/21,Takotna River,Chinook,7,7,Counted,Weir
Takotna River Escapement,,,2000,07/22,Takotna River,Chinook,39,39,Counted,Weir
Takotna River Escapement,,,2000,07/23,Takotna River,Chinook,2,2,Counted,Weir
Takotna River Escapement,,,2000,07/24,Takotna River,Chinook,5,5,Counted,Weir
Takotna River Escapement,,,2000,07/25,Takotna River,Chinook,17,17,Counted,Weir
Takotna River Escapement,,,2000,07/26,Takotna River,Chinook,3,3,Counted,Weir
Takotna River Escapement,,,2000,07/27,Takotna River,Chinook,9,9,Counted,Weir
Takotna River Escapement,,,2000,07/28,Takotna River,Chinook,5,5,Counted,Weir
Takotna River Escapement,,,2000,07/29,Takotna River,Chinook,9,9,Counted,Weir
Takotna River Escapement,,,2000,07/30,Takotna River,Chinook,5,5,Counted,Weir
Takotna River Escapement,,,2000,07/31,Takotna River,Chinook,2,2,Counted,Weir
Takotna River Escapement,,,2000,08/01,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,08/02,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,08/03,Takotna River,Chinook,5,5,Counted,Weir
Takotna River Escapement,,,2000,08/04,Takotna River,Chinook,8,8,Counted,Weir
Takotna River Escapement,,,2000,08/05,Takotna River,Chinook,7,7,Counted,Weir
Takotna River Escapement,,,2000,08/06,Takotna River,Chinook,4,4,Counted,Weir
Takotna River Escapement,,,2000,08/07,Takotna River,Chinook,1,1,Counted,Weir
Takotna River Escapement,,,2000,08/08,Takotna River,Chinook,7,7,Counted,Weir
Takotna River Escapement,,,2000,08/09,Takotna River,Chinook,7,7,Counted,Weir
