Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
Chena River Escapement,,,1993,07/01,Chena River,Chinook,81,81,Single Run
Chena River Escapement,,,1993,07/02,Chena River,Chinook,78,78,Single Run
Chena River Escapement,,,1993,07/03,Chena River,Chinook,194,194,Single Run
Chena River Escapement,,,1993,07/04,Chena River,Chinook,77,77,Single Run
Chena River Escapement,,,1993,07/05,Chena River,Chinook,405,405,Single Run
Chena River Escapement,,,1993,07/06,Chena River,Chinook,220,220,Single Run
Chena River Escapement,,,1993,07/07,Chena River,Chinook,432,432,Single Run
Chena River Escapement,,,1993,07/08,Chena River,Chinook,243,243,Single Run
Chena River Escapement,,,1993,07/09,Chena River,Chinook,297,297,Single Run
Chena River Escapement,,,1993,07/10,Chena River,Chinook,603,603,Single Run
Chena River Escapement,,,1993,07/11,Chena River,Chinook,828,828,Single Run
Chena River Escapement,,,1993,07/12,Chena River,Chinook,1013,1013,Single Run
Chena River Escapement,,,1993,07/13,Chena River,Chinook,1157,1157,Single Run
Chena River Escapement,,,1993,07/14,Chena River,Chinook,900,900,Single Run
Chena River Escapement,,,1993,07/15,Chena River,Chinook,867,867,Single Run
Chena River Escapement,,,1993,07/16,Chena River,Chinook,882,882,Single Run
Chena River Escapement,,,1993,07/17,Chena River,Chinook,248,248,Single Run
Chena River Escapement,,,1993,07/18,Chena River,Chinook,651,651,Single Run
Chena River Escapement,,,1993,07/19,Chena River,Chinook,338,338,Single Run
Chena River Escapement,,,1993,07/20,Chena River,Chinook,792,792,Single Run
Chena River Escapement,,,1993,07/21,Chena River,Chinook,492,492,Single Run
Chena River Escapement,,,1993,07/22,Chena River,Chinook,339,339,Single Run
Chena River Escapement,,,1993,07/23,Chena River,Chinook,312,312,Single Run
Chena River Escapement,,,1993,07/24,Chena River,Chinook,180,180,Single Run
Chena River Escapement,,,1993,07/25,Chena River,Chinook,95,95,Single Run
Chena River Escapement,,,1993,07/26,Chena River,Chinook,95,95,Single Run
Chena River Escapement,,,1993,07/27,Chena River,Chinook,131,131,Single Run
Chena River Escapement,,,1993,07/28,Chena River,Chinook,75,75,Single Run
Chena River Escapement,,,1993,07/29,Chena River,Chinook,57,57,Single Run
Chena River Escapement,,,1993,07/30,Chena River,Chinook,51,51,Single Run
Chena River Escapement,,,1993,07/31,Chena River,Chinook,9,9,Single Run
Chena River Escapement,,,1993,08/01,Chena River,Chinook,23,23,Single Run
Chena River Escapement,,,1993,08/02,Chena River,Chinook,32,32,Single Run
Chena River Escapement,,,1993,08/03,Chena River,Chinook,18,18,Single Run
Chena River Escapement,,,1993,08/04,Chena River,Chinook,6,6,Single Run
Chena River Escapement,,,1993,08/05,Chena River,Chinook,14,14,Single Run
Chena River Escapement,,,1993,08/06,Chena River,Chinook,9,9,Single Run
Chena River Escapement,,,1993,08/07,Chena River,Chinook,9,9,Single Run
Chena River Escapement,,,1994,07/01,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/02,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/03,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/04,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/05,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/06,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/07,Chena River,Chinook,,,Single Run
Chena River Escapement,,,1994,07/08,Chena River,Chinook,45,45,Single Run
Chena River Escapement,,,1994,07/09,Chena River,Chinook,36,36,Single Run
Chena River Escapement,,,1994,07/10,Chena River,Chinook,54,54,Single Run
Chena River Escapement,,,1994,07/11,Chena River,Chinook,117,117,Single Run
Chena River Escapement,,,1994,07/12,Chena River,Chinook,72,72,Single Run
Chena River Escapement,,,1994,07/13,Chena River,Chinook,477,477,Single Run
Chena River Escapement,,,1994,07/14,Chena River,Chinook,1347,1347,Single Run
Chena River Escapement,,,1994,07/15,Chena River,Chinook,1872,1872,Single Run
Chena River Escapement,,,1994,07/16,Chena River,Chinook,1283,1283,Single Run
Chena River Escapement,,,1994,07/17,Chena River,Chinook,864,864,Single Run
Chena River Escapement,,,1994,07/18,Chena River,Chinook,1116,1116,Single Run
Chena River Escapement,,,1994,07/19,Chena River,Chinook,716,716,Single Run
Chena River Escapement,,,1994,07/20,Chena River,Chinook,561,561,Single Run
Chena River Escapement,,,1994,07/21,Chena River,Chinook,624,624,Single Run
Chena River Escapement,,,1994,07/22,Chena River,Chinook,288,288,Single Run
Chena River Escapement,,,1994,07/23,Chena River,Chinook,230,230,Single Run
Chena River Escapement,,,1994,07/24,Chena River,Chinook,348,348,Single Run
Chena River Escapement,,,1994,07/25,Chena River,Chinook,891,891,Single Run
Chena River Escapement,,,1994,07/26,Chena River,Chinook,410,410,Single Run
Chena River Escapement,,,1994,07/27,Chena River,Chinook,303,303,Single Run
Chena River Escapement,,,1994,07/28,Chena River,Chinook,3,3,Single Run
Chena River Escapement,,,1994,07/29,Chena River,Chinook,2,2,Single Run
Chena River Escapement,,,1994,07/30,Chena River,Chinook,0,0,Single Run
Chena River Escapement,,,1994,07/31,Chena River,Chinook,9,9,Single Run
Chena River Escapement,,,1994,08/01,Chena River,Chinook,18,18,Single Run
Chena River Escapement,,,1994,08/02,Chena River,Chinook,18,18,Single Run
Chena River Escapement,,,1994,08/03,Chena River,Chinook,27,27,Single Run
Chena River Escapement,,,1994,08/04,Chena River,Chinook,32,32,Single Run
Chena River Escapement,,,1994,08/05,Chena River,Chinook,45,45,Single Run
