Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
Andreafsky River (East Fork) Escapement,,,1986,06/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,06/26,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,06/27,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,06/28,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,06/29,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,06/30,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/01,Andreafsky River (East Fork),Chinook,27,27,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/02,Andreafsky River (East Fork),Chinook,53,53,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/03,Andreafsky River (East Fork),Chinook,80,80,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/04,Andreafsky River (East Fork),Chinook,212,212,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/05,Andreafsky River (East Fork),Chinook,276,276,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/06,Andreafsky River (East Fork),Chinook,49,49,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/07,Andreafsky River (East Fork),Chinook,160,160,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/08,Andreafsky River (East Fork),Chinook,114,114,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/09,Andreafsky River (East Fork),Chinook,68,68,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/10,Andreafsky River (East Fork),Chinook,103,103,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/11,Andreafsky River (East Fork),Chinook,44,44,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/12,Andreafsky River (East Fork),Chinook,132,132,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/13,Andreafsky River (East Fork),Chinook,23,23,Single Run
Andreafsky River (East Fork) Escapement,,,1986,07/14,Andreafsky River (East Fork),Chinook,189,189,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/26,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/27,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/28,Andreafsky River (East Fork),Chinook,2,2,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/29,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,06/30,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/01,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/02,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/03,Andreafsky River (East Fork),Chinook,8,8,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/04,Andreafsky River (East Fork),Chinook,17,17,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/05,Andreafsky River (East Fork),Chinook,16,16,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/06,Andreafsky River (East Fork),Chinook,14,14,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/07,Andreafsky River (East Fork),Chinook,9,9,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/08,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/09,Andreafsky River (East Fork),Chinook,54,54,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/10,Andreafsky River (East Fork),Chinook,44,44,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/11,Andreafsky River (East Fork),Chinook,31,31,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/12,Andreafsky River (East Fork),Chinook,54,54,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/13,Andreafsky River (East Fork),Chinook,129,129,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/14,Andreafsky River (East Fork),Chinook,159,159,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/15,Andreafsky River (East Fork),Chinook,150,150,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/16,Andreafsky River (East Fork),Chinook,156,156,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/17,Andreafsky River (East Fork),Chinook,186,186,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/18,Andreafsky River (East Fork),Chinook,122,122,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/19,Andreafsky River (East Fork),Chinook,196,196,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/20,Andreafsky River (East Fork),Chinook,271,271,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/21,Andreafsky River (East Fork),Chinook,241,241,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/22,Andreafsky River (East Fork),Chinook,41,41,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/23,Andreafsky River (East Fork),Chinook,47,47,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/24,Andreafsky River (East Fork),Chinook,27,27,Single Run
Andreafsky River (East Fork) Escapement,,,1987,07/25,Andreafsky River (East Fork),Chinook,31,31,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/21,Andreafsky River (East Fork),Chinook,60,60,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/22,Andreafsky River (East Fork),Chinook,3,3,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/23,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/24,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/25,Andreafsky River (East Fork),Chinook,0,0,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/26,Andreafsky River (East Fork),Chinook,4,4,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/27,Andreafsky River (East Fork),Chinook,12,12,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/28,Andreafsky River (East Fork),Chinook,18,18,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/29,Andreafsky River (East Fork),Chinook,55,55,Single Run
Andreafsky River (East Fork) Escapement,,,1988,06/30,Andreafsky River (East Fork),Chinook,39,39,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/01,Andreafsky River (East Fork),Chinook,81,81,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/02,Andreafsky River (East Fork),Chinook,252,252,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/03,Andreafsky River (East Fork),Chinook,90,90,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/04,Andreafsky River (East Fork),Chinook,30,30,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/05,Andreafsky River (East Fork),Chinook,43,43,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/06,Andreafsky River (East Fork),Chinook,105,105,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/07,Andreafsky River (East Fork),Chinook,69,69,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/08,Andreafsky River (East Fork),Chinook,23,23,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/09,Andreafsky River (East Fork),Chinook,42,42,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/10,Andreafsky River (East Fork),Chinook,69,69,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/11,Andreafsky River (East Fork),Chinook,94,94,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/12,Andreafsky River (East Fork),Chinook,93,93,Single Run
Andreafsky River (East Fork) Escapement,,,1988,07/13,Andreafsky River (East Fork),Chinook,35,35,Single Run
