Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/05,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/06,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/07,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/08,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/09,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/10,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/11,Eagle Sonar (Yukon/Canadian Border),Chinook,0,0,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/12,Eagle Sonar (Yukon/Canadian Border),Chinook,1531,1531,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/13,Eagle Sonar (Yukon/Canadian Border),Chinook,2618,2618,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/14,Eagle Sonar (Yukon/Canadian Border),Chinook,3122,3122,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/15,Eagle Sonar (Yukon/Canadian Border),Chinook,3242,3242,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/16,Eagle Sonar (Yukon/Canadian Border),Chinook,3770,3770,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/17,Eagle Sonar (Yukon/Canadian Border),Chinook,4073,4073,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/18,Eagle Sonar (Yukon/Canadian Border),Chinook,4480,4480,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/19,Eagle Sonar (Yukon/Canadian Border),Chinook,4713,4713,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/20,Eagle Sonar (Yukon/Canadian Border),Chinook,4668,4668,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2005,07/21,Eagle Sonar (Yukon/Canadian Border),Chinook,5254,5254,Single Run
