Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
Pilot Station Escapement,,,1995,06/07,Pilot Station Sonar,Chinook,5678,5678,Single Run
Pilot Station Escapement,,,1995,06/08,Pilot Station Sonar,Chinook,6211,6211,Single Run
Pilot Station Escapement,,,1995,06/09,Pilot Station Sonar,Chinook,3517,3517,Single Run
Pilot Station Escapement,,,1995,06/10,Pilot Station Sonar,Chinook,6529,6529,Single Run
Pilot Station Escapement,,,1995,06/11,Pilot Station Sonar,Chinook,15373,15373,Single Run
Pilot Station Escapement,,,1995,06/12,Pilot Station Sonar,Chinook,10055,10055,Single Run
Pilot Station Escapement,,,1995,06/13,Pilot Station Sonar,Chinook,13770,13770,Single Run
Pilot Station Escapement,,,1995,06/14,Pilot Station Sonar,Chinook,18965,18965,Single Run
Pilot Station Escapement,,,1995,06/15,Pilot Station Sonar,Chinook,5440,5440,Single Run
Pilot Station Escapement,,,1995,06/16,Pilot Station Sonar,Chinook,7885,7885,Single Run
Pilot Station Escapement,,,1995,06/17,Pilot Station Sonar,Chinook,4990,4990,Single Run
Pilot Station Escapement,,,1995,06/18,Pilot Station Sonar,Chinook,11654,11654,Single Run
Pilot Station Escapement,,,1995,06/19,Pilot Station Sonar,Chinook,18277,18277,Single Run
Pilot Station Escapement,,,1995,06/20,Pilot Station Sonar,Chinook,12051,12051,Single Run
Pilot Station Escapement,,,1995,06/21,Pilot Station Sonar,Chinook,1001,1001,Single Run
Pilot Station Escapement,,,1995,06/22,Pilot Station Sonar,Chinook,1810,1810,Single Run
Pilot Station Escapement,,,1995,06/23,Pilot Station Sonar,Chinook,6155,6155,Single Run
Pilot Station Escapement,,,1995,06/24,Pilot Station Sonar,Chinook,5274,5274,Single Run
Pilot Station Escapement,,,1995,06/25,Pilot Station Sonar,Chinook,3506,3506,Single Run
Pilot Station Escapement,,,1995,06/26,Pilot Station Sonar,Chinook,11841,11841,Single Run
Pilot Station Escapement,,,1995,06/27,Pilot Station Sonar,Chinook,14815,14815,Single Run
Pilot Station Escapement,,,1995,06/28,Pilot Station Sonar,Chinook,1509,1509,Single Run
