Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
Salcha River Escapement,,,1993,07/01,Salcha River,Chinook,63,63,Single Run
Salcha River Escapement,,,1993,07/02,Salcha River,Chinook,36,36,Single Run
Salcha River Escapement,,,1993,07/03,Salcha River,Chinook,41,41,Single Run
Salcha River Escapement,,,1993,07/04,Salcha River,Chinook,78,78,Single Run
Salcha River Escapement,,,1993,07/05,Salcha River,Chinook,27,27,Single Run
Salcha River Escapement,,,1993,07/06,Salcha River,Chinook,158,158,Single Run
Salcha River Escapement,,,1993,07/07,Salcha River,Chinook,264,264,Single Run
Salcha River Escapement,,,1993,07/08,Salcha River,Chinook,300,300,Single Run
Salcha River Escapement,,,1993,07/09,Salcha River,Chinook,342,342,Single Run
Salcha River Escapement,,,1993,07/10,Salcha River,Chinook,212,212,Single Run
Salcha River Escapement,,,1993,07/11,Salcha River,Chinook,663,663,Single Run
Salcha River Escapement,,,1993,07/12,Salcha River,Chinook,900,900,Single Run
Salcha River Escapement,,,1993,07/13,Salcha River,Chinook,896,896,Single Run
Salcha River Escapement,,,1993,07/14,Salcha River,Chinook,636,636,Single Run
Salcha River Escapement,,,1993,07/15,Salcha River,Chinook,582,582,Single Run
Salcha River Escapement,,,1993,07/16,Salcha River,Chinook,576,576,Single Run
Salcha River Escapement,,,1993,07/17,Salcha River,Chinook,257,257,Single Run
Salcha River Escapement,,,1993,07/18,Salcha River,Chinook,240,240,Single Run
Salcha River Escapement,,,1993,07/19,Salcha River,Chinook,1013,1013,Single Run
Salcha River Escapement,,,1993,07/20,Salcha River,Chinook,432,432,Single Run
Salcha River Escapement,,,1993,07/21,Salcha River,Chinook,588,588,Single Run
Salcha River Escapement,,,1993,07/22,Salcha River,Chinook,396,396,Single Run
Salcha River Escapement,,,1993,07/23,Salcha River,Chinook,378,378,Single Run
Salcha River Escapement,,,1993,07/24,Salcha River,Chinook,195,195,Single Run
Salcha River Escapement,,,1993,07/25,Salcha River,Chinook,194,194,Single Run
Salcha River Escapement,,,1993,07/26,Salcha River,Chinook,50,50,Single Run
Salcha River Escapement,,,1993,07/27,Salcha River,Chinook,131,131,Single Run
Salcha River Escapement,,,1993,07/28,Salcha River,Chinook,87,87,Single Run
Salcha River Escapement,,,1993,07/29,Salcha River,Chinook,50,50,Single Run
Salcha River Escapement,,,1993,07/30,Salcha River,Chinook,32,32,Single Run
Salcha River Escapement,,,1993,07/31,Salcha River,Chinook,57,57,Single Run
Salcha River Escapement,,,1993,08/01,Salcha River,Chinook,45,45,Single Run
Salcha River Escapement,,,1993,08/02,Salcha River,Chinook,38,38,Single Run
Salcha River Escapement,,,1993,08/03,Salcha River,Chinook,27,27,Single Run
Salcha River Escapement,,,1993,08/04,Salcha River,Chinook,14,14,Single Run
Salcha River Escapement,,,1993,08/05,Salcha River,Chinook,15,15,Single Run
Salcha River Escapement,,,1993,08/06,Salcha River,Chinook,0,0,Single Run
Salcha River Escapement,,,1993,08/07,Salcha River,Chinook,0,0,Single Run
Salcha River Escapement,,,1993,08/08,Salcha River,Chinook,0,0,Single Run
Salcha River Escapement,,,1994,07/05,Salcha River,Chinook,0,0,Single Run
Salcha River Escapement,,,1994,07/06,Salcha River,Chinook,15,15,Single Run
Salcha River Escapement,,,1994,07/07,Salcha River,Chinook,33,33,Single Run
Salcha River Escapement,,,1994,07/08,Salcha River,Chinook,48,48,Single Run
