"Year","LowerMainstem","WhiteDonjek","Pelly","Stewart","Carmacks","Teslin","MiddleMainstem","UpperLakesAndMainstem"
"1985","205.198132502066","209.290680312797","212.439489549633","214.151615492879","213.315600387863","211.566715488349","218.34304196265","229.204445318994"
"1986","196.542274084292","201.432664570327","202.825596496239","204.091198843138","203.640476833706","203.00759160197","209.896805443819","219.587404124488"
"1987","194.587306438355","198.315946273319","202.754262281976","201.30925958325","205.927507020454","204.618793473868","210.576064029374","218.297727977868"
"1988","183.851039154595","192.795807233292","202.638752097625","201.875391803815","215.936746922845","206.32261254002","224.459558296076","234.160426195676"
"1989","190.533058345876","199.651250750577","201.764096687794","207.976531902077","218.599995214571","206.629215971336","224.86022979124","234.514528139587"
"1990","185.608045363411","198.233758167284","196.505001280228","201.701355981105","215.472076414147","207.0792837464","221.223918541997","236.166979027917"
"1991","191.044912726599","201.062337375007","202.893627418851","205.561893619871","211.430378508226","207.533525495887","213.93834656594","219.611794942738"
"1992","202.048051178579","204.824035928376","206.216185086661","207.577653855563","210.113563427524","205.56756100517","214.893215052151","226.139693984096"
"1993","187.322583472823","194.230935915702","198.629607944579","198.275676553161","205.668135100742","200.504383883487","210.402213082183","219.766961117199"
"1994","192.069247203431","198.485200214438","203.285246301583","202.501439567696","213.29725920608","199.956067266685","210.603462810218","222.472400998702"
"1995","190.799409082141","200.626265505717","199.706515914803","201.479804004146","206.509041869652","206.892899766044","211.396228791069","222.197351914811"
"1996","186.259769474664","191.985925186704","196.384967405256","197.209057269751","201.650492509166","196.16883742752","207.76567120988","222.762666987176"
"1997","192.346143157017","200.13446864634","205.419090162655","206.462467920831","208.877027420405","206.353911695676","212.9188624891","224.274058441442"
"1998","186.107920928311","195.164257874852","203.078390832669","215.286256079805","220.413908355644","218.184778551488","240.052317702534","254.062496917103"
"1999","201.406469762856","206.121996526315","208.143958477059","208.090071270724","209.026838026064","208.795810283031","212.612255295063","221.073784517165"
"2000","196.646232633338","202.537492728714","205.939824058852","204.551208108028","208.153988262822","206.519810880405","211.320807229801","220.877130527579"
"2001","197.290142835481","198.291869095208","198.602329184818","198.999070759146","200.269400810773","206.478740407142","217.254966741546","237.841242749054"
"2002","190.124297109634","196.685450597534","201.105220486052","202.460529362101","207.470370738749","206.879033964562","210.332358747424","221.029556610965"
"2003","186.269442802948","192.834211433944","200.078269227774","199.938452392439","203.629308625116","198.016697610864","209.102674550707","223.115873845758"
"2004","189.582833137981","195.697654799987","197.67195390241","198.405077880614","202.929867950956","198.234070302633","208.970699754701","223.701218556448"
"2005","196.662984554255","196.839837508629","201.220274251803","202.192408811528","204.482809930494","202.879870613268","210.802825732986","218.033665719477"
"2006","199.6060494018","207.31977628558","204.50042852292","193.753408598986","211.439217452238","208.242230864915","217.718605105721","224.729570505926"
"2007","197.706353770755","209.280438900115","198.646236234453","194.283174972979","214.414832337648","203.199393749921","221.037211498786","229.614458326196"
"2008","198.780633941609","200.359125538696","204.616415430334","192.023762904915","208.242327466154","209.130908504762","216.164913696953","223.575154996837"
"2009","198.189686721385","200.376951315544","201.11726664399","192.64747832747","209.294847494097","202.560329928831","215.787747550796","225.933203307125"
"2010","202.073298407653","201.807973920387","206.691879744245","196.831924851684","212.238722734482","208.301122853189","213.887853277546","225.208236507391"
"2011","197.138879736651","199.787420182802","198.120783076586","190.431264521228","205.485086460398","204.506429056844","211.683172590534","218.92470985438"
"2012","204.112465457979","209.223869457479","208.287268457381","198.882006723898","212.776516955424","209.238516633154","218.105134378267","225.278259714775"
"2013","199.627277265481","203.975476133154","204.220882769005","194.538628614549","209.015413696443","200.582256821008","214.667565934905","223.655544774852"
"2014","192.360560742031","190.476470681238","194.719417804037","183.674064133759","201.881213341119","194.120755858406","204.052844489134","212.978366623725"
"2015","193.750149151569","196.873781174574","199.472819294209","187.695646212604","206.513140686208","201.825878531432","212.195720338838","220.113177203788"
"2016","193.426447993778","203.259406606725","199.703540775021","186.840922288039","204.264527473872","199.671102672617","212.78941789173","221.425043605337"
"2017","193.596131729045","209.389704888232","201.833068912811","188.432900235739","204.615831636733","198.259691149197","215.502862253614","225.027596998958"
"2018","197.886334888623","207.821833350244","204.035425326394","192.556864999257","209.342933828834","203.899282269531","214.295871603632","222.632125563544"
"2019","195.157150021364","206.14094621578","203.471181147832","188.074626473027","209.263557888049","202.683856159607","213.425482062569","221.467936713075"
"SD","2.4","2.4","2.4","2.4","2.4","2.4","2.4","2.4"
